hanzi,snamefreq,gnamefreq
"阿",,79
"挨",,1
"蔼",,2
"霭",,4
"艾",53,13
"爱",,406
"嫒",,1
"安",238,923
"庵",,14
"岸",1,17
"昂",,28
"凹",2,3
"敖",1,13
"熬",,5
"璈",,2
"翱",,4
"鳌",,1
"傲",,3
"骜",,1
"鏊",,4
"八",,3
"巴",3,1
"拔",,1
"霸",,1
"白",561,113
"百",,38
"佰",,22
"柏",203,306
"摆",,1
"拜",3,3
"班",6,1
"板",,18
"半",,6
"邦",,858
"帮",,40
"榜",,6
"包",119,
"宝",1,1563
"保",4,366
"葆",,49
"报",,4
"抱",,12
"豹",,11
"鲍",115,4
"暴",2,
"杯",,2
"悲",,37
"北",,56
"贝",5,6
"备",,44
"蓓",,42
"奔",,3
"贲",2,16
"本",,153
"比",,63
"彼",,3
"笔",,1
"必",,109
"毕",164,11
"庇",,1
"苾",,1
"弼",,26
"辟",,2
"碧",5,117
"壁",,5
"璧",,13
"边",13,
"扁",,2
"卞",47,1
"变",,4
"杓",,1
"彪",2,102
"标",,133
"镖",,1
"飙",,2
"飚",,8
"表",,15
"别",8,1
"宾",,77
"彬",,247
"斌",,544
"滨",,200
"槟",,5
"镔",,1
"冰",,108
"兵",,187
"丙",,74
"邴",1,
"秉",,223
"柄",,9
"炳",,376
"禀",,4
"并",,2
"波",1,736
"菠",,2
"播",,3
"伯",2,447
"帛",,2
"泊",,2
"勃",,8
"博",1,93
"渤",,4
"薄",85,
"晡",,1
"卜",60,1
"补",,2
"不",,2
"布",,18
"步",8,66
"钚",,3
"部",,5
"猜",,1
"才",4,780
"材",,13
"财",,47
"采",,13
"彩",,105
"菜",,1
"蔡",480,
"参",,1
"灿",,44
"粲",,1
"仓",1,107
"伧",,1
"沧",,14
"苍",,7
"藏",,5
"操",,23
"曹",657,1
"草",1,8
"策",,10
"岑",14,5
"查",28,1
"茶",1,9
"柴",76,
"婵",,8
"禅",,15
"蟾",,1
"昌",1,1161
"锠",,1
"长",,1031
"常",115,105
"嫦",,2
"昶",,21
"畅",,4
"唱",1,
"焯",,44
"超",1,441
"晁",6,1
"巢",5,
"朝",,224
"潮",,55
"车",61,2
"彻",,1
"琛",2,968
"尘",,8
"臣",,224
"忱",,71
"辰",,50
"陈",4375,6
"宸",,1
"晨",,61
"谌",3,6
"趁",,1
"铛",,1
"丞",,9
"成",391,1910
"呈",,24
"承",,312
"诚",,284
"城",,202
"珹",,1
"程",490,48
"澄",,72
"骋",,2
"池",20,37
"迟",521,2
"持",,9
"匙",3,
"墀",,11
"篪",,88
"赤",,29
"炽",,13
"充",,27
"冲",,38
"崇",4,95
"宠",,2
"仇",39,
"畴",,4
"筹",,2
"丑",,13
"臭",,1
"初",6,236
