# nominal

# proper nouns
Eh	HumanName	Humankind, Ktetic, Object	# human name

Es_p	PlaceName	Spaceword, Ktetic, Object	# place name
Es_i	InstiName	Spaceword, Ktetic, Object	# institute

# other proper nouns
Ez_b	BrandName	Object	# brand name
Ez_w	TitleName	Ktetic, Object	# book title, work name
Ez_r	HraceName	Ktetic, Object	# race name
Ez_k	SkillName	Ktetic, Object	# skill name
Ez_z	OtherName	Ktetic, Object	# other proper noun

# generic noun
Nx	Noun	Ktetic, Object	# generic noun
Nx_l	Nmix	Ktetic, Object	# noun phrase

# human related noun
Nh	Honor	Humankind, Ktetic, Object	# honorific
Nr_h	Human	Humankind, Ktetic, Object	# generic human word
Nr_o	Occup	Humankind, Ktetic, Object	# occupational title that can't be combine with human name
Nr_f	Ftree	Humankind, Ktetic, Object	# kinship, family member

Nb	Nabst	Object, Ktetic	# astract concept
Na	Nattr	Object	# generic attribute

# concrete nouns
No_w	Weapon	Ktetic, Object	# all kind of weapons, for ba3 quantifier
No_i	Inhand	Ktetic, Object	# can be measured by hand, for ba3 quantifier
No_a	Animal	Ktetic, Object	# all kind of living animals
No_p	Plant	Ktetic, Object	# all kind of plants
No_x	Nobjt	Ktetic, Object	# generic concrete noun

# placement
Ns_p	Place	Spaceword, Ktetic, Object	# generic place
Ns_ks	LocSf	Spaceword, Ktetic, Object	# combine with prev noun to placement
Ns_kt	OrgSf	Spaceword, Ktetic, Object	# combine with prev noun to organization
#Np_kg	GeoSf	Spaceword, Ktetic, Object	# combine with prev noun to placement

# locative
Ns_s	Posit	Spaceword, Object	# place + locat
Ns_f	Locat	Spaceword, Object	# can act as place

#Nf_s	LocShang	Spaceword, Object, MaybeCmpl, Mixedpos	# "上"
#Nf_x	LocXia	Spaceword, Object, MaybeCmpl, Mixedpos	# "下"
#Nf_z	LocZhong	Spaceword, Object, MaybeCmpl	# "中"
#Nf_q	LocQian	Spaceword, Object	# "前"
#Nf_h	LocHou4	Spaceword, Object	# "后"

# temporal
Nt_x	Timeword	Object, MaybeAdvb	# generic temporal words
Nt_m	Timemark	Object, MaybeAdvb	# can mark successor term as time
Nt_d	Dateform	Object, MaybeAdvb	# date
Nt_t	Timeform	Object, MaybeAdvb	# time
Nt_s	Timespan	Object, MaybeAdvb	# time span, duration
