# pronouns

Rx	Pronoun	Object, Ktetic	# unknown pronoun

## 人称代词 - personal pronoun - đại từ nhân xưng
Rr	PerPron	Object, Ktetic, Humankind	#

Rr_qu	PronQu2	Object, Ktetic, Humankind, Peculiar	# "其"
Rr_qm	PronQumen	Object, Ktetic, Humankind, Peculiar	# "其们"
Rr_ziji	PronZiji	Object, Ktetic, Humankind, Peculiar	# "自己"

# 指示代词 - demonstrative pronoun - đại từ chỉ thị
Rz	DemPron	Object, Ktetic	# generic

Rz_zhe	PronZhe	Object, Peculiar, AtTail	# "这"
Rz_na1	PronNa1	Object, Peculiar, AtTail	# "那"
Rz_mei	PronMei	Object, Peculiar	# "每"

Rz_zy	PronZheyang	Object, Peculiar, MaybeAdvb, MaybeConj, CanSplit	# "这样"
Rz_ny	PronNayang	Object, Peculiar, MaybeAdvb, MaybeConj, CanSplit	# "那样"

# 疑问代词 - interrogative pronoun
Ry	IntPron	Object, Peculiar, AtTail	# generic

Ry_ji	PronJi	Object, Peculiar, AtTail	# "几"
Ry_na2	PronNa2	Object, Peculiar, AtTail	# "哪"
Ry_shei	PronShei	Humankind, Object, Peculiar	# 谁
