# numbers

# numeral
Mn_o	Ordinal	Object, AtTail	# 序数词 ordinal number
Mn_c	Numeric	Object	# 基数词 generic cardinal number

Mn_d	Ndigit0	Object	# all digits
Mn_df	Ndigit1	Object	# digits with decimal point
Mn_dr	Ndigit2	Object	# fractal number
Mn_da	Ndigit3	Object	# approximate numbers (has `-`, `~` between)

Mn_h	Nhanzi0	Object	# all chinese number, unknown state
Mn_hd	Nhanzi1	Object	# chinese number, can convert to number
Mn_hf	Nhanzi2	Object	# chinese number, approximate

Mn_x	Nmixed0	Object	# mixed digits with hanzi units
Mn_xf	Nmixed1	Object	# mixed approximate digits with hanzi units

Mn_yi1	NumYi1 	Object	# "一"
Mn_han	NumHan 	Object	# "半"

Mn_f	Numeral	Object	# 基数词 generic cardinal number




#############
# quantifiers

## proper quantifiers
Mqn_ge	QtGe4	Object, Peculiar	# "个"
Mqn_ba	QtBa3	Object, Peculiar	# "把"

#Mqn_	QtBen	Object, Peculiar	# "本"
#Mqn_	 QtBu4	Object, Peculiar	# "部"
#Mqn_	 QtCe4	Object, Peculiar	# "册"
#Mqn_	QtCeng	Object, Peculiar	# "层"
#Mqn_ 	tChang	Object, Peculiar	# "场"
#Mqn_	QtChu4	Object, Peculiar	# "处"
#Mqn_	QtChu1	Object, Peculiar	# "出"
#Mqn_	 QtCi4	Object, Peculiar	# "次"
#Mqn_	 QtDao	Object, Peculiar	# "道"
#Mqn_	QtDing	Object, Peculiar	# "顶"
#Mqn_	QtDong	Object, Peculiar	# "栋"
#Mqn_	 QtDu3	Object, Peculiar	# "堵"
#Mqn_	 QtDun	Object, Peculiar	# "顿"
#Mqn_	 QtDuo	Object, Peculiar	# "朵"
#Mqn_	 QtFa1	Object, Peculiar	# "发"
#Mqn_	QtFen4	Object, Peculiar	# "份"
#Mqn_	QtFeng	Object, Peculiar	# "封"
#Mqn_	 QtFu2	Object, Peculiar	# "幅"
#Mqn_	QtGan3	Object, Peculiar	# "杆"
#Mqn_	QtGen1	Object, Peculiar	# "根"
#Mqn_	QtJia1	Object, Peculiar	# "家"
#Mqn_	QtJia4	Object, Peculiar	# "架"
#Mqn_	QtJian	Object, Peculiar	# "间"
# more_ https_//en.wikipedia.org/wiki/List_of_Chinese_classifiers


## verb quantifiers
Mqv	Qtverb	Object	# verb quantifier
#Mqc	Qtcmpl	Object, Ktetic, Mixedpos	# temporal quantifier that can be make verb complement

## noun quantifiers
Mqn	Qtnoun	Object	# generic noun quantifier
Mqn_m	Qtmass	Object	# mass
Mqn_w	Qtwght	Object	# weight
Mqn_d	Qtdist	Object	# distance
Mqn_c	Qtcash	Object	# currency


## time quantifiers
Mqt	Qttime	Object	# combine with number to timespan / timeform / dateform
Mqt_dien	QtDian	Object, Peculiar	# "点"
Mqt_fen1	QtFen1	Object, Peculiar	# "分"
Mqt_miao	QtMiao	Object, Peculiar	# "秒"
Mqt_nian	QtNian	Object, Peculiar	# "年"
Mqt_yue4	QtYue4	Object, Peculiar	# "月"
Mqt_ri4	QtRi4	Object, Peculiar	# "日"
Mqt_hao	QtHao	Object, Peculiar	# "号"


##########################
# number + quantifier pair

## for verb
Mfv	Nqverb	Object, MaybeAdvb	# can be verb complement or adverbial phrase
#Mfc	Nqcmpl	Object, Ktetic, Mixedpos	# temporal quantifier that can be verb complement

## for nouns
Mfn	Nqnoun	Object, Ktetic	# generic noun quantifier
Mfn_m	Nqmass	Object	# mass
Mfn_w	Nqwght	Object	# weight
Mfn_d	Nqdist	Object	# distance
Mfn_c	Nqcash	Object	# currency

## temporal
Mft_t	Nqtime	Object, MaybeAdvb, Mixedpos	# can be verb complement or timeform
Mft_d	Nqdate	Object, MaybeAdvb, Mixedpos	# can be verb complement or dateform
Mft_s	Nqspan	Object, MaybeAdvb, Mixedpos	# can be verb complement or dateform
