# verbs

Vi_o	Vobj	CanBePred	# verb + object phrase
Vi_s	Vset	CanBePred	# verb + object as skill
Vi_l	Vmix	CanBePred	# verb phrase need no object
Vi_x	Vint	CanBePred	# intransitive verb

Vd	Vead	CanBePred	# verbs using for comparision
Vn	Veno	CanBePred

Vt_x	Verb	CanBePred	# normal transitive verb
Vt_2	Vtwo	CanBePred	# verbs need two objects
Vt_d	Vdir	CanBePred	# directional verb
Vt_l	Vlnk	Vlinking, CanBePred	# linking verb

Vs_r	Vcmp	CanBePred	# verbs using for comparision
Vs_c	Vcau	CanBePred	# causative verbs

Vs_p	Vpsy	CanBePred	# psychological verb
Vs_x	Vpro	CanBePred	# performative verb

## modal verbs
Vs_m	Vmod	CanBePred, MaybeAuxi	# modal verbs
Vs_hui	VmHui	CanBePred, MaybeAuxi, MaybeCmpl, Peculiar	# "会"
Vs_bubui	VmBuhui	CanBePred, MaybeAuxi, Peculiar	# "不会"
Vs_xiang	VmXiang	CanBePred, MaybeAuxi, Peculiar	# "想"
Vs_neng	VmNeng	CanBePred, MaybeAuxi, Peculiar	# "能"
Vs_yao	VmYao	CanBePred, MaybeAuxi, Peculiar	# "要"
Vs_ke3	VmKe3	CanBePred, MaybeAuxi, Peculiar	# "可"

## special verbs
#Vs_shang	VShang	CanBePred, MaybeAuxi, Peculiar	# "上"
#Vs_xia	VXia	CanBePred, MaybeAuxi, Peculiar	# "下"
#Vs_dao	VDao	CanBePred, MaybeCmpl, Vlinking, Peculiar
#Vs_zhu	VZhu	CanBePred, MaybeCmpl, Peculiar	# "住"

### existential/comparision
Vs_s	Vexi	CanBePred	# existential verbs
Vs_you	VYou	CanBePred, MaybeAuxi, Peculiar, Vlinking	# "有"
Vs_meiyou	VMeiyou	CanBePred, MaybeAuxi, Peculiar, Vlinking	# "没有"

### copula
Vs_shi	VShi	CanBePred, MaybeAuxi, Peculiar	# '是'
Vs_cop	VCop	CanBePred, MaybeAuxi, Peculiar	# other copula
