# conjuctions

Fc	Conjunct	Unreal	# subordinating conjunction

#Fc_d	ConDan4	Unreal, JoinWord, Peculiar	# "但"
#Fc_y	ConYou4	Unreal, JoinWord, Peculiar	# "又"
#Fc_h	ConHuo4	Unreal, JoinWord, Peculiar	# "或"
#Fc_hs	ConHuoshi	Unreal, JoinWord, Peculiar	# "或是"

# coordinating conjunction
Fcc	Concoord	Unreal, JoinWord	# geneirc

#Fcc_h	ConHe2	Unreal, JoinWord, Peculiar	# "和"
#Fcc_y	ConYu3	Unreal, JoinWord, Peculiar	# "与"
#Fcc_t	ConTong	Unreal, JoinWord, Peculiar	# "同"
#Fcc_g	ConGen1	Unreal, JoinWord, Peculiar	# "跟"
