#short	#tag	#pos	#key	#desc

Fp_x	Prepos	Unreal		# generic
Fp_c	Precmp	Unreal		# compare

Fp_ba	PrepBa3	Unreal, Mixedpos, MaybeQuanti	"把"
Fp_dui	PrepDui	Unreal, Mixedpos, MaybeCmpl	"对"
Fp_bei	PrepBei	Unreal	"被"
Fp_zai	PrepZai	Unreal	"在"

Fp_bi	PrepBi3 	Unreal	"比"

Fp_jiang	PrepJiang	Unreal	"将"

Fp_he2	PrepHe2	Unreal	"和"
Fp_yu3	PrepYu3	Unreal	"与"

Fp_tong	PrepTong	Unreal, AtTail	"同"
Fp_gen1	PrepGen1	Unreal, AtTail	"跟"

Fp_rang	PrepRang	Unreal	"让"

Fp_ling	PrepLing	Unreal	"令"
Fp_gei3	PrepGei3	Unreal	"给"

Fp_zi4	PrepZi4	Unreal	"自"

Fp_cong	PrepCong	Unreal, AtTail	"从"
