# sound words

Fo_o	Onomat	CanBePred	# onomatopoeia - tượng thanh
Fo_e	Interj	Boundary	# interjection/exclamation - thán từ

# modal particle - ngữ khí
Fy	Mopart	Unreal, Boundary

# vcompls

Fc_d	Dircmpl	Mixedpos	# direction complement
Fc_r	Rescmpl	Mixedpos	# result complemnt
Fc_p	Potcmpl	Mixedpos	# potential complement
Fc_g	Degcmpl	Mixedpos	# degree complement
Fc_s	Sttcmpl	Mixedpos	# state complement
Fc_q	Qticmpl	Mixedpos	# state complement
Fc_t	Nqtcmpl	Mixedpos	# state complement

# suffixes

Fg_ke	SufName	Ktetic	# make other names
Fg_kn	SufNoun	Unreal	# make noun words
Fg_kb	SufAttr	Unreal	# make noun attribute
Fg_kt	SufTime	Unreal	# make whole structure as time expression

Fg_kv	SufVerb	Unreal	# tranform adjt/noun to verb
Fg_ka	SufAdjt	Unreal	# transform verb/noun to adjt

Fg_kz	SufZhi	Unreal	# 之 + noun that can have alternative meaning

Fg_kmen	SufMen5	Unreal	# "们"
Fg_kxing	SufXing	Unreal	# "性"

# infixes

Fg_ja	InfAdjt	Unreal
Fg_jv	InfVerb	Unreal

# prefixes

Fg_hke	PrefKe3	Unreal	# "可"
Fg_hdi	PrefDi4	Unreal	# "第"
