老	? lão
老大	? lão đại
老二	? lão nhị
老三	? lão tam
老四	? lão tứ
老七	? lão thất
老五	? lão ngũ
老六	? lão lục
老八	? lão bát
老九	? lão cửu
老鬼	? lão quỷ
老怪	? lão quái
老儿	? lão nhi
老兄	? lão huynh
老太	? lão thái
老猪	? lão trư
老祖	? lão tổ
老姐	? lão tỷ
老师	? lão sư
老哥	? lão ca
老妪	? lão bà
老狗	? lão cẩu
老头	? lão đầu
老婆	? lão bà
老妹	? lão muội
老爷	? lão gia
老弟	? lão đệ
老板	? lão bản
老汉	? lão hán
老伯	? lão bá
老妈	? lão ma
老夫人	? lão phu nhân
老连长	? lão liên trưởng
老家主	? lão gia chủ
太爷爷	? lão gia gia
老大人	? lão đại nhân
老夫子	? lão phu tử
老头儿	? lão đầu nhi
老帮主	? lão bang chủ
打渔佬	? lão đánh cá
老淫贼	? lão dâm tặc
老尼姑	? lão ni cô
老同学	? lão đồng học
老爷子	? lão gia tử
老银币	? lão âm bức
老魔王	? lão ma vương
老杂役	? lão tạp dịch
老族长	? lão tộc trưởng
老先生	? lão tiên sinh
老太爷	? lão thái gia
老前辈	? lão tiền bối
老将军	? lão tướng quân
老太太	? lão thái thái
老施主	? lão thí chủ
老财主	? lão tài chủ
老座主	? lão toạ chủ
老色鬼	? lão sắc quỷ
老色胚	? lão sắc phôi
老戏骨	? lão hí cốt
老妹儿	? lão muội nhi
老妖孽	? lão yêu nghiệt
老妖怪	? lão yêu quái
老侯爷	? lão hầu gia
老王八	? lão vương bát

大	? đại
大户	? đại hộ
大少	? đại thiếu
大伯	? đại bá
大兄	? đại huynh
大妹	? đại muội
大嫂	? đại tẩu
大帅	? đại soái
大郎	? đại lang
大姐	? đại tỷ
大人	? đại nhân
大佬	? đại lão
大侠	? đại hiệp
大叔	? đại thúc
大神	? đại thần
大巫	? đại vu
大爷	? đại gia
大士	? đại sĩ
大伴	? đại bạn
大婶	? đại thẩm
大女	? đại nữ
大公	? đại công
大王	? đại vương
大臣	? đại thần
大帝	? đại đế
大校	? đại tá
大哥	? đại ca
大师	? đại sư
大俠	? đại hiệp
大夫	? đại phu
大圣	? đại thánh
大娘	? đại nương
大家	? đại gia
大魔王	? đại ma vương
大美女	? đại mỹ nữ
大掌柜	? đại chưởng quỹ
大名人	? đại danh nhân
大美人	? đại mỹ nhân
大当家	? đại đương gia
大太监	? đại thái giám
大坏蛋	? đại khốn kiếp
大善人	? đại thiện nhân
大人渣	? đại cặn bã
大夫人	? đại phu nhân
大老师	? đại lão sư
大表哥	? đại biểu ca
大舅哥	? đại cữu ca
代行者	? đại hành giả
大女人	? đại nữ nhân
大公主	? đại công chúa
大导演	? đại đạo diễn
大祭酒	? đại tế tửu
大能者	? đại năng giả
大太爷	? đại thái gia
大道士	? đại đạo sĩ
大修士	? đại tu sĩ
大学士	? đại học sĩ
大法师	? đại pháp sư
