1	chu-than-dich-oi-toa-ke-	Người Thừa Kế Hèn Hạ Của Chủ Thần
2	sang-dao-thu-nghiep	Sàng Đạo Thụ Nghiệp
3	dam-thuat-luyen-kim-si	Nhà Giả Kim Dâm Thuật
4	quy-bi-chi-chu	Chúa Tể Quỷ Bí
5	han-tu-duong-quan	Hàn Tứ Làm Quan
6	my-dieu-nhan-the-he-liet	Hệ Liệt Nhân Thê Mỹ Diệu
7	thien-ha-de-cuu	Thứ Chín Thiên Hạ
8	nhat-dai-dai-hiep	Một Đời Đại Hiệp
9	nga-thi-can-hanh-de-nhat-nhan	Ta Là Cần Hành Người Thứ Nhất
10	le-minh-y-sinh	Thầy Thuốc Sáng Sớm
11	cau-ba-dich-hac-khoa-ky-	Hệ Thống Công Nghệ Đen Của Bá Bóng
12	tuyet-doi-nhat-phien	Tuyệt Đối Một Phen
13	dai-dao-trieu-thien	Đại Đạo Hướng Trời
14	han-khuyet	Khuyết Hán
15	ngoan-gia-thinh-tu-trong	Người Chơi Mời Tự Trọng
16	van-thien-chi-tam	Trái Tim Ngàn Vạn
17	quy-di-tu-tien-the-gioi	Quỷ Dị Tu Tiên Thế Giới
18	tham-khong-chi-luu-lang-ham-doi	Lưu Lạc Thâm Không Hạm Đội
19	kiem-dao-nhat-ban-tam-quoc-chi	Nhặt Được Một Bản Tam Quốc Chí
20	do-thi-sieu-cap-y-thanh	Đô Thị Y Thánh Siêu Cấp
21	chi-xich-chi-gian-nhan-tan-	Giữa Gang Tấc Người Tận Địch Quốc
22	cuong-tham	Cuồng Thám
23	khai-hai	Mở Biển
24	son-cau-hoang-de	Hoàng Đế Khe Núi
25	tien-nhiem-vo-song	Tiền Nhiệm Vô Song
26	gia-hieu-huu-doc	Tài Khoản Này Có Độc
27	ty-phu-dich-vinh-dieu	Vinh Quang Của Anh Rể
28	ham-ngu-dich-tu-cuu-cong-luoc	Sách Công Lược Tự Cứu Của Cá Muối
29	tieu-te-diem-su	Tiêu Tề Diễm Sử
30	thiet-ngoc	Trộm Ngọc
31	yeu-dao-ky	Yêu Đao Ký
32	dam-ky-sao-chi-toa-tinh-chu	Dâm Kỳ Sao: Toả Tình Chú
33	kim-lan-khoi-thi-tri-trung-vat	Kim Lân Há Là Vật Trong Ao
34	28-tue-tram-thien-van	28 Tuổi Kiếm Mười Triệu
35	ky-si-dich-huyet-mach	Huyết Mạch Của Kỵ Sĩ
36	tuy-mong-nhan-gian	Tuý Mộng Nhân Gian
37	ngoc-lan-truyen-ky	Truyền Kỳ Lân Ngọc
38	luat-chinh-nai-ba	Vú Em Hợp Pháp
39	thap-canh-doan	Thập Cảnh Đoạn
40	thien-kha-han	Thiên Khả Hãn
41	van-dien	Mặt Hoa Văn
42	luc-trieu-van-long-ngam	Lục Triều Vân Long Ngâm
43	a-ly-bo-dat-nien-dai-ky	Alibuda Niên Đại Ký
44	trung-sinh-trieu-chi-kinh	Trùng Sinh Triệu Chí Kính
45	dai-duong-song-long-chi-trung-	Đại Đường Song Long: Trùng Sinh Biên Bất Phụ
46	luc-trieu-thanh-vu-ky	Lục Triều Thanh Vũ Ký
47	mo-ai-ngung-huong	Sương Chiều Ngưng Hương
48	than-phat-chi-thanh	Thành Thần Phạt
49	giang-son-van-la	Giang Sơn Vân La
50	luc-trieu-yen-ca-hanh	Lục Triều Yến Ca Hành
51	cam-tu-giang-son-truyen	Núi Sông Cẩm Tú Truyền
52	tieu-dao-tieu-tan-tien	Tiểu Tán Tiên Tiêu Dao
53	ngu-long-vu	Ngư Long Múa
54	dai-minh-thien-ha	Đại Minh Thiên Hạ
55	lai-tu-vi-lai-dich-than-tham	Đến Từ Thần Thám Tương Lai
56	toi-so-dich-tam-dao-gia	Người Tìm Đạo Ban Sơ
57	kiem-cong-tu	Công Tử Kiếm
