大	đại	a		18012	
多	đa	a		17534	
小	tiểu	a		11717	
好	hảo	a		11407	
新	tân	a		10083	
安全	an toàn	an		8790	
高	cao	a		6888	
重要	trọng yếu	a		6335	
全面	toàn diện	ad		4878	
近	cận	a		4837	
基本	cơ bản	a		4454	
健康	kiện khang	a		4337	
不同	bất đồng	a		4090	
积极	tích cực	ad		3990	
严重	nghiêm trọng	a		3850	
公开	công khai	ad		3723	
长	trường	a		3590	
更多	canh đa	ad		3458	
成功	thành công	a		3387	
明确	minh xác	a		3230	
正式	chính thức	ad		3179	
全	toàn	a		3141	
直接	trực tiếp	ad		3116	
最高	tối cao	a		2920	
具体	cụ thể	a		2875	
新的	tân đích	a		2872	
重大	trọng đại	a		2845	
努力	nỗ lực	ad		2811	
有效	hữu hiệu	a		2762	
严格	nghiêm cách	ad		2729	
及时	cập thời	ad		2726	
明显	minh hiển	a		2714	
老	lão	a		2621	
强	cường	a		2607	
一般	nhất bàn	ad		2495	
困难	khốn nan	an		2493	
稳定	ổn định	an		2467	
完全	hoàn toàn	ad		2414	
热	nhiệt	a		2329	
正常	chính thường	a		2321	
少	thiếu	a		2321	
突然	đột nhiên	ad		2301	
充分	sung phân	ad		2252	
早	tảo	a		2213	
深入	thâm nhập	ad		2155	
认真	nhận chân	ad		2089	
低	đê	a		2056	
突出	đột xuất	a		2037	
卫生	vệ sinh	an		2020	
容易	dung dị	ad		1964	
难	nan	a		1879	
平均	bình quân	a		1874	
快	khoái	a		1860	
普通	phổ thông	a		1847	
主动	chủ động	ad		1842	
连续	liên tục	a		1823	
迅速	tấn tốc	ad		1722	
重	trọng	a		1675	
根本	căn bản	a		1650	
确实	xác thực	ad		1618	
良好	lương hảo	a		1612	
丰富	phong phú	a		1604	
顺利	thuận lợi	ad		1534	
幸福	hạnh phúc	a		1515	
红	hồng	a		1488	
切实	thiết thực	ad		1486	
最新	tối tân	a		1478	
简单	giản đơn	a		1466	
最低	tối đê	a		1455	
坚决	kiên quyết	ad		1425	
不足	bất túc	an		1422	
方便	phương tiện	a		1411	
著名	trứ danh	a		1411	
腐败	hủ bại	an		1408	
年轻	niên khinh	a		1404	
公平	công bình	a		1396	
特殊	đặc thù	a		1389	
巨大	cự đại	a		1387	
危险	nguy hiểm	an		1360	
意外	ý ngoại	a		1360	
真	chân	a		1347	
不好	bất hảo	a		1346	
美丽	mỹ lệ	a		1315	
合理	hợp lý	a		1306	
众多	chúng đa	a		1298	
紧张	khẩn trương	a		1254	
真实	chân thực	a		1238	
人均	nhân quân	a		1211	
假	giả	a		1205	
普遍	phổ biến	ad		1189	
类似	loại tự	a		1189	
满	mãn	a		1179	
远	viễn	a		1172	
正确	chính xác	a		1164	
最多	tối đa	ad		1163	
清楚	thanh sở	a		1118	
矛盾	mâu thuẫn	an		1116	
详细	tường tế	a		1087	
优秀	ưu tú	a		1083	
广泛	quảng phiếm	a		1081	
强烈	cường liệt	a		1045	
很好	ngận hảo	ad		1045	
民主	dân chủ	a		1033	
复杂	phức tạp	a		1012	
先进	tiên tiến	a		983	
微	vi	ag		975	
易	dịch	ad		965	
紧急	khẩn cấp	a		954	
深	thâm	a		954	
美好	mỹ hảo	a		953	
知名	tri danh	a		947	
自由	tự do	a		944	
一致	nhất trí	a		940	
和谐	hoà hài	a		931	
不够	bất cú	a		902	
黄	hoàng	a		896	
彻底	triệt để	ad		891	
深刻	thâm khắc	a		876	
不错	bất thác	a		855	
合法	hợp pháp	a		853	
黑	hắc	a		839	
必要	tất yếu	a		835	
差	sai	a		822	
有限	hữu hạn	a		792	
慈善	từ thiện	a		784	
快乐	khoái lạc	a		780	
性感	tính cảm	a		772	
疯狂	phong cuồng	a		769	
独立	độc lập	a		749	
强大	cường đại	a		742	
主	chủ	ag		740	
广	quảng	a		738	
开心	khai tâm	a		738	
异常	dị thường	a		738	
高级	cao cấp	a		733	
安	an	ag		730	
久	cửu	a		721	
太多	thái đa	ad		720	
严肃	nghiêm túc	a		717	
温暖	ôn noãn	an		700	
热情	nhiệt tình	an		698	
特	đặc	ag		691	
有力	hữu lực	a		688	
成熟	thành thục	a		682	
明	minh	ag		680	
平安	bình an	a		675	
显然	hiển nhiên	ad		670	
青	thanh	a		668	
实	thực	ad		660	
较高	giác cao	ad		660	
不良	bất lương	a		653	
轻松	khinh tông	a		652	
便利	tiện lợi	an		652	
伟大	vĩ đại	a		651	
旧	cựu	a		649	
很少	ngận thiếu	ad		647	
适当	thích đương	a		642	
热门	nhiệt môn	a		635	
白	bạch	a		626	
相同	tương đồng	a		624	
秀	tú	ag		619	
显著	hiển trứ	ad		617	
神秘	thần bí	a		615	
平衡	bình hành	a		612	
多数	đa số	a		609	
极大	cực đại	a		604	
高兴	cao hứng	a		601	
可爱	khả ái	a		595	
固定	cố định	a		595	
小心	tiểu tâm	a		571	
仔细	tử tế	ad		569	
激动	kích động	a		566	
公正	công chính	a		563	
平稳	bình ổn	a		560	
准确	chuẩn xác	a		559	
密切	mật thiết	ad		559	
漂亮	phiêu lượng	a		558	
密集	mật tập	a		556	
独特	độc đặc	a		555	
善	thiện	ag		554	
严	nghiêm	a		553	
完美	hoàn mỹ	a		553	
恐怖	khủng bố	a		548	
相似	tương tự	a		545	
常见	thường kiến	a		543	
贵	quý	a		540	
自觉	tự giác	a		536	
短	đoản	a		533	
有序	hữu tự	a		530	
贫困	bần khốn	a		528	
冷	lãnh	a		518	
齐	tề	a		516	
尴尬	giam giới	a		513	
完整	hoàn chỉnh	a		512	
激烈	kích liệt	a		508	
清晰	thanh tích	a		508	
清洁	thanh khiết	a		507	
乐	nhạc	a		504	
不满	bất mãn	an		500	
频繁	tần phồn	a		497	
宽	khoan	a		493	
扎实	trát thực	a		492	
坚定	kiên định	a		484	
不幸	bất hạnh	a		484	
合适	hợp thích	a		483	
