次	thứ	Bg		4	
副	phó	b		926	
主要	chủ yếu	b		482	
进一步	tiến nhất bộ	b		25	
女	nữ	b		511	
共同	cộng đồng	b		133	
正	chính	b		5	
广大	quảng đại	b		389	
一定	nhất định	b		168	
总	tổng	b		228	
规模	quy mô	b		1	
长期	trường kỳ	b		85	
高度	cao độ	b		1	
整个	chỉnh cá	b		200	
真正	chân chính	b		59	
所有	sở hữu	b		177	
大型	đại hình	b		197	
原	nguyên	b		103	
金	kim	b		34	
规范	quy phạm	b		1	
非常	phi thường	b		2	
相互	tương hỗ	b		32	
快速	khoái tốc	b		55	
白	bạch	b		1	
专门	chuyên môn	b		46	
经常	kinh thường	b		21	
最终	tối chung	b		20	
高级	cao cấp	b		1	
原来	nguyên lai	b		48	
上述	thượng thuật	b		108	
当然	đương nhiên	b		1	
公路	công lộ	b		1	
非	phi	b		1	
初步	sơ bộ	b		21	
国防	quốc phòng	b		1	
优质	ưu chất	b		84	
非法	phi pháp	b		49	
同样	đồng dạng	b		25	
特困	đặc khốn	b		79	
大规模	đại quy mô	b		55	
相对	tương đối	b		4	
唯一	duy nhất	b		56	
新型	tân hình	b		68	
负	phụ	b		9	
临时	lâm thời	b		42	
初级	sơ cấp	b		63	
单	đơn	b		18	
永远	vĩnh viễn	b		2	
大幅	đại bức	b		4	
从业	tòng nghiệp	b		62	
公共	công cộng	b		55	
必然	tất nhiên	b		10	
常务	thường vụ	b		53	
短期	đoản kỳ	b		45	
大中型	đại trung hình	b		52	
巨额	cự ngạch	b		49	
刑事	hình sự	b		47	
业余	nghiệp dư	b		49	
一流	nhất lưu	b		48	
县级	huyện cấp	b		48	
专项	chuyên hạng	b		41	
个别	cá biệt	b		2	
国产	quốc sản	b		42	
一级	nhất cấp	b		45	
男	nam	b		43	
私营	tư doanh	b		44	
影视	ảnh thị	b		43	
亚	á	b		1	
高效	cao hiệu	b		35	
新兴	tân hưng	b		36	
消防	tiêu phòng	b		40	
特大	đặc đại	b		39	
检察	kiểm sát	b		39	
一贯	nhất quán	b		19	
国家级	quốc gia cấp	b		37	
有机	hữu cơ	b		20	
高速	cao tốc	b		16	
小型	tiểu hình	b		35	
内在	nội tại	b		35	
