在	tại	d		283	
一	nhất	d		249	
不	bất	d		4532	
多	đa	d		71	
也	dã	d		2772	
就	tựu	d		2211	
将	tướng	d		1607	
新	tân	d		115	
大	đại	d		159	
从	tòng	d		3	
都	đô	d		1901	
已	dĩ	d		1609	
并	tịnh	d		236	
还	hoàn	d		1532	
又	hựu	d		1061	
好	hảo	d		31	
但	đãn	d		11	
时	thời	Dg		2	
更	canh	d		1068	
最	tối	d		1055	
高	cao	d		1	
没有	một hữu	d		358	
很	ngận	d		912	
过	quá	d		82	
几	kỷ	d		1	
主要	chủ yếu	d		269	
同时	đồng thời	d		103	
或	hoặc	d		3	
可	khả	d		55	
同	đồng	d		64	
再	tái	d		611	
只	chích	d		469	
进一步	tiến nhất bộ	d		547	
至	chí	d		3	
必须	tất tu	d		559	
特别	đặc biệt	d		424	
才	tài	d		334	
却	khước	d		497	
较	giác	d		473	
已经	dĩ kinh	d		459	
共同	cộng đồng	d		323	
曾	tăng	d		349	
万	vạn	d		2	
不断	bất đoạn	d		418	
共	cộng	d		388	
重点	trọng điểm	d		101	
正	chính	d		353	
一定	nhất định	d		198	
分	phân	d		3	
分	phân	Dg		2	
则	tắc	d		184	
本	bản	d		44	
总	tổng	d		85	
老	lão	d		4	
全	toàn	d		54	
便	tiện	d		300	
既	kí	d		8	
仍	nhưng	d		305	
仅	cận	d		282	
自	tự	d		30	
规模	quy mô	d		7	
像	tượng	d		6	
反	phản	d		2	
分别	phân biệt	d		256	
正在	chính tại	d		257	
没	một	d		164	
少	thiếu	d		6	
长期	trường kỳ	d		160	
结果	kết quả	d		50	
先后	tiên hậu	d		241	
干	can	d		1	
首先	thủ tiên	d		155	
更加	canh gia	d		230	
相	tương	d		220	
高度	cao độ	d		163	
根本	căn bản	d		31	
一起	nhất khởi	d		52	
大力	đại lực	d		214	
甚至	thậm chí	d		151	
约	ước	d		199	
未	vị	d		211	
逐步	trục bộ	d		208	
即	tức	d		61	
或者	hoặc giả	d		3	
真正	chân chính	d		140	
均	quân	d		193	
比较	tỉ giác	d		162	
还是	hoàn thị	d		61	
初	sơ	d		38	
一直	nhất trực	d		184	
只有	chích hữu	d		31	
依法	y pháp	d		178	
太	thái	d		149	
自然	tự nhiên	d		78	
越来越	việt lai việt	d		168	
越	việt	d		132	
连	liên	d		23	
原	nguyên	d		44	
非常	phi thường	d		161	
另	lánh	d		37	
尤其	vưu kỳ	d		158	
相互	tương hỗ	d		125	
快	khoái	d		31	
重	trọng	d		36	
重新	trọng tân	d		153	
尽管	tẫn quản	d		16	
先	tiên	d		147	
快速	khoái tốc	d		94	
深	thâm	d		34	
方	phương	d		12	
相当	tương đương	d		85	
是否	thị phủ	d		4	
再次	tái thứ	d		139	
白	bạch	d		6	
满	mãn	d		6	
纷纷	phân phân	d		125	
专门	chuyên môn	d		81	
始终	thuỷ chung	d		120	
刚	cương	d		104	
还要	hoàn yếu	d		12	
经常	kinh thường	d		100	
难以	nan dĩ	d		121	
就是	tựu thị	d		95	
最终	tối chung	d		98	
尚	thượng	d		82	
倍	bội	d		5	
极	cực	d		102	
尽快	tận khoái	d		113	
仍然	nhưng nhiên	d		112	
几乎	cơ hồ	d		111	
刚刚	cương cương	d		109	
原来	nguyên lai	d		61	
真	chân	d		80	
确保	xác bảo	d		2	
常	thường	d		75	
终于	chung vu	d		102	
模范	mô phạm	d		2	
边	biên	d		55	
立即	lập tức	d		100	
日益	nhật ích	d		99	
即将	tức tướng	d		99	
当然	đương nhiên	d		98	
多次	đa thứ	d		2	
肯定	khẳng định	d		15	
非	phi	d		29	
飞	phi	Dg		2	
初步	sơ bộ	d		72	
独立	độc lập	d		1	
不再	bất tái	d		92	
往往	vãng vãng	d		89	
大大	đại đại	d		87	
时刻	thời khắc	d		23	
其实	kỳ thực	d		82	
敢	cảm	Dg		12	
非法	phi pháp	d		30	
同样	đồng dạng	d		56	
总是	tổng thị	d		81	
颇	pha	d		80	
决心	quyết tâm	d		21	
另外	lánh ngoại	d		3	
义务	nghĩa vụ	d		32	
定	định	d		12	
更是	canh thị	d		75	
乱	loạn	d		53	
逐渐	trục tiệm	d		74	
大规模	đại quy mô	d		17	
光	quang	d		17	
同期	đồng kỳ	d		71	
只是	chích thị	d		38	
似乎	tự hồ	d		70	
相对	tương đối	d		58	
共有	cộng hữu	d		1	
唯一	duy nhất	d		12	
算	toán	d		3	
至今	chí kim	d		67	
不要	bất yêu	d		67	
竟	cánh	d		67	
临时	lâm thời	d		25	
也许	dã hứa	d		67	
实际上	thực tế thượng	d		66	
互相	hỗ tương	d		66	
至少	chí thiểu	d		66	
