在	tại	d		87	
一	nhất	d		91	
不	bất	df		1508	
不	bất	d		1	
也	dã	d		844	
多	đa	d		52	
就	tựu	d		720	
大	đại	dc		54	
新	tân	d		32	
将	tướng	d		487	
从	tòng	d		1	
都	đô	d		591	
还	hoàn	d		450	
已	dĩ	d		455	
并	tịnh	d		82	
好	hảo	dc		11	
又	hựu	d		331	
最	tối	dc		382	
但	đãn	d		1	
更	canh	dc		322	
很	ngận	dc		287	
没有	một hữu	df		128	
过	quá	dc		34	
只	chích	d		179	
主要	chủ yếu	d		77	
几	kỷ	dc		1	
可	khả	d		16	
同时	đồng thời	d		24	
全	toàn	d		11	
再	tái	d		202	
同	đồng	d		16	
必须	tất tu	d		175	
进一步	tiến nhất bộ	d		172	
却	khước	d		168	
较	giác	dc		157	
才	tài	d		147	
特别	đặc biệt	dc		117	
已经	dĩ kinh	d		132	
总	tổng	d		32	
一定	nhất định	d		74	
曾	tăng	d		124	
重点	trọng điểm	d		28	
共同	cộng đồng	d		93	
不断	bất đoạn	d		115	
十分	thập phần	dc		103	
共	cộng	d		101	
本	bản	d		11	
规模	quy mô	d		3	
则	tắc	d		47	
便	tiện	d		95	
自	tự	d		9	
仅	cận	d		92	
万	vạn	d		1	
既	kí	d		1	
仍	nhưng	d		90	
正	chính	d		85	
长期	trường kỳ	d		58	
真正	chân chính	d		61	
相	tương	d		81	
少	thiếu	d		7	
甚至	thậm chí	d		44	
像	tượng	d		2	
根本	căn bản	d		10	
更加	canh gia	dc		70	
一起	nhất khởi	d		13	
首先	thủ tiên	d		46	
未	vị	df		69	
高度	cao độ	d		51	
没	một	df		42	
分别	phân biệt	d		65	
比较	tỉ giác	dc		47	
重新	trọng tân	d		64	
大力	đại lực	d		62	
初	sơ	d		12	
即	tức	d		19	
极	cực	dc		58	
原	nguyên	d		19	
约	ước	d		56	
先	tiên	d		58	
越	việt	dc		51	
自然	tự nhiên	d		27	
均	quân	d		55	
依法	y pháp	d		55	
太	thái	dc		51	
一直	nhất trực	d		54	
尤其	vưu kỳ	dc		53	
逐步	trục bộ	d		52	
先后	tiên hậu	d		52	
尽管	tẫn quản	d		2	
只有	chích hữu	d		7	
正在	chính tại	d		49	
快速	khoái tốc	d		41	
终于	chung vu	d		48	
快	khoái	d		5	
越来越	việt lai việt	dc		47	
还是	hoàn thị	d		18	
另	lánh	d		9	
非常	phi thường	dc		46	
相当	tương đương	dc		36	
相互	tương hỗ	d		41	
连	liên	d		7	
边	biên	d		27	
经常	kinh thường	d		34	
