# adverbs:
# - https://chinemaster.com/pho-tu-trong-tieng-trung/
# - https://www.decodemandarinchinese.com/grammar/adverbs/

## 否定副词 negative adverbs
不	AdvBu4
非	AdvFei
没	AdvMei
别	AdvBie
甭	AdvNega
未	AdvNega
莫	AdvNega
勿	AdvNega
没有	AdvNega
未必	AdvNega
不用	AdvNega
徒然	AdvNega
枉自	AdvNega

## 程度副词 adverbs of degree
最	AdvZui
很	AdvHen
太	AdvDegree
更	AdvDegree
极	AdvDegree
挺	AdvDegree
顶	AdvDegree
极其	AdvDegree
非常	AdvDegree
特别	AdvDegree
十分	AdvDegree

## 时间副词 adverbs of time
已	AdvTime
正	AdvTime
将	AdvTime
刚	AdvTime
老	AdvTime
先	AdvTime
已经	AdvTime
曾经	AdvTime
马上	AdvTime

## 语气副词 modal adverbs/adverbs of mood
偏	AdvMood
可	AdvMood
就	AdvMood
却	AdvMood
岂	AdvMood
只好	AdvMood
难道	AdvMood
难怪	AdvMood
究竟	AdvMood
到底	AdvMood

## 范围副词 scope adverbs
全	AdvScope
只	AdvScope
共	AdvScope
光	AdvScope
总共	AdvScope
仅仅	AdvScope

## 频度副词 adverbs of frequency
始终	AdvFreque
总是	AdvFreque
一向	AdvFreque
常常	AdvFreque
偶尔	AdvFreque
向来	AdvFreque
仍然	AdvFreque
屡次	AdvFreque
再次	AdvFreque
反复	AdvFreque
重新	AdvFreque

## 关联副词 correlative or conjunctive adverbs
才	AdvCai
便	AdvCorrel
却	AdvCorrel
既	AdvCorrel
越	AdvCorrel

## 情态副词/情状副词 adverbs of manner
特地	AdvManner
百般	AdvManner
互相	AdvManner
擅自	AdvManner
亲自	AdvManner
逐步	AdvManner

## time or scoop
总	AdvZong

## scoop or mood
就	AdvJiu3

## frequency or correlative
再	AdvZai
又	AdvYou
也	AdvYe3
还	AdvHoan

## scope or correl
都	AdvDu1
