# đại từ nhân xưng

## ngôi thứ nhất
我	PerPron
我们	PerPron
咱	PerPron
咱们	PerPron
俺	PerPron
俺们	PerPron
臣	PerPron
朕	PerPron

## ngôi thứ hai
你	PerPron
你们	PerPron
您	PerPron
你们	PerPron
伱	PerPron
伱们	PerPron

## ngôi thứ ba
他	PerPron
他们	PerPron
她	PerPron
她们	PerPron
它	PerPron
它们	PerPron

其	PronQu2
其们	PronQumen
自己	PronZiji

# đại từ chỉ thị
这	PronZhe
那	PronNa1
每	PronMei

这里	DemPron
那儿	DemPron
这样	DemPron
那样	DemPron
那么	DemPron
其他	DemPron
别的	DemPron

# đại từ nghi vấn
几	PronJi
哪	PronNa2
谁	PronShei

多少	IntPron
哪里	IntPron
怎样	IntPron
哪儿	IntPron
哪里	IntPron
什么	IntPron
怎么	IntPron
怎么样	IntPron
怎能	IntPron
怎的	IntPron
几时	IntPron
多少	IntPron
若干	IntPron
为何	IntPron
为什么	IntPron
何	IntPron
如何	IntPron
啥	IntPron
为啥	IntPron
咋	IntPron
