夫人	phu nhân	Nhrf	1
某人	mỗ nhân	Nhrf	1
美人	mỹ nhân	Nhrf	1
大人	đại nhân	Nhrf	1
女人	nữ nhân	Nhrf	1
山人	sơn nhân	Nhrf	1
男人	nam nhân	Nhrf	1
道人	đạo nhân	Nhrf	1
贱人	tiện nhân	Nhrf	1
真人	chân nhân	Nhrf	1
一人	một người	Nhrf	1
情人	người yêu	Nhrf	1
情人	tình nhân	Nhrf	1
情人	người tình	Nhrf	1
死人	người chết	Nhrf	1
死人	chết người	Nhrf	1
圣人	thánh nhân	Nhrf	1
小人	tiểu nhân	Nhrf	1
鸟人	thằng khốn nạn	Nhrf	1
鸟人	điểu nhân	Nhrf	1
好人	người tốt	Nhrf	1
艺人	nghệ nhân	Nhrf	1
乡人	hương nhân	Nhrf	1
安人	An Nhân	Nhrf	1
安人	an nhân	Nhrf	1
新人	người mới	Nhrf	1
野人	dã nhân	Nhrf	1
闲人	người rảnh rỗi	Nhrf	1
主人	chủ nhân	Nhrf	1
狂人	kẻ điên	Nhrf	1
狂人	cuồng nhân	Nhrf	1
游人	du khách	Nhrf	1
散人	tán nhân	Nhrf	1
恋人	người yêu	Nhrf	1
善人	người lương thiện	Nhrf	1
头人	thủ lĩnh	Nhrf	1
头人	đầu người	Nhrf	1
传人	truyền nhân	Nhrf	1
名人	danh nhân	Nhrf	1
行人	người đi đường	Nhrf	1
西人	người Tây	Nhrf	1
狼人	ma sói	Nhrf	1
狼人	Warwick	Nhrf	1
狼人	Người Sói	Nhrf	1
狼人	Người sói	Nhrf	1
狼人	Wehrwolf	Nhrf	1
狼人	người sói	Nhrf	1
狼人	lang nhân	Nhrf	1
土人	thổ dân	Nhrf	1
外人	người ngoài	Nhrf	1
外人	ngoại nhân	Nhrf	1
巨人	người khổng lồ	Nhrf	1
巨人	cự nhân	Nhrf	1
湖人	Lakers	Nhrf	1
湖人	người Hồ	Nhrf	1
族人	tộc nhân	Nhrf	1
冰人	băng nhân	Nhrf	1
洋人	người tây	Nhrf	1
洋人	người nước ngoài	Nhrf	1
坏人	người xấu	Nhrf	1
门人	Monjin	Nhrf	1
门人	môn nhân	Nhrf	1
