墨者	Mặc giả	Nppl	2
儒者	Nho giả	Nppl	2

来者	người đến	Nppl	2
知者	người biết	Nppl	2
强者	kẻ mạnh	Nppl	2
愚者	kẻ ngu	Nppl	2
逝者	người mất	Nppl	2
达者	người thành đạt	Nppl	2
听者	người nghe	Nppl	2
能者	người có khả năng	Nppl	2
罪者	kẻ tội	Nppl	2
败者	kẻ thua	Nppl	2
患者	người bệnh	Nppl	2
笔者	người viết	Nppl	2
说者	người nói	Nppl	2
师者	nhà giáo	Nppl	2
活者	người sống	Nppl	2
富者	người giàu	Nppl	2
赢者	người thắng	Nppl	2
见者	người gặp	Nppl	2
从者	tòng giả	Nppl	2
读者	người đọc	Nppl	2
画者	hoạ sĩ	Nppl	2
庸者	kẻ tầm thường	Nppl	2
前者	người phía trước	Nppl	2

讲师	giảng viên	Nppl	2
长孙	cháu đích tôn	Nppl	2

家丁	đầy tớ	Nppl	2
乞丐	ăn mày	Nppl	2
空姐	tiếp viên hàng không	Nppl	2
阿姐	a tỷ	Nppl	2

怪人	quái nhân	Nppl	2
母亲	mẹ	Nppl	2
