目前	mục tiền	t		12126	
今年	kim niên	t		8807	
2013年	2013 niên	t		7972	
去年	khứ niên	t		7961	
现在	hiện tại	t		7151	
2014年	2014 niên	t		6384	
昨日	tạc nhật	t		5749	
下午	hạ ngọ	t		5202	
当时	đương thời	t		5202	
近日	cận nhật	t		4615	
上午	thượng ngọ	t		4518	
昨天	tạc thiên	t		4498	
春节	xuân tiết	t		3837	
今天	kim thiên	t		3765	
第二	đệ nhị	t		1	
日前	nhật tiền	t		3000	
未来	vị lai	t		2778	
当天	đương thiên	t		2704	
此前	thử tiền	t		2581	
新年	tân niên	t		2457	
2012年	2012 niên	t		2365	
晚	vãn	tg		2292	
最近	tối cận	t		2047	
后来	hậu lai	t		1980	
晚上	vãn thượng	t		1925	
如今	như kim	t		1911	
除夕	trừ tịch	t		1584	
今日	kim nhật	t		1470	
当年	đương niên	t		1414	
凌晨	lăng thần	t		1397	
1月8日	1 nguyệt 8 nhật	t		1380	
元旦	nguyên đán	t		1363	
平时	bình thời	t		1320	
1月6日	1 nguyệt 6 nhật	t		1321	
当前	đương tiền	t		1313	
6日	6 nhật	t		1288	
今后	kim hậu	t		1274	
7日	7 nhật	t		1257	
早上	tảo thượng	t		1199	
8日	8 nhật	t		1163	
冬季	đông quý	t		1161	
当日	đương nhật	t		1151	
1月9日	1 nguyệt 9 nhật	t		1144	
1月7日	1 nguyệt 7 nhật	t		1141	
2011年	2011 niên	t		1110	
近期	cận kỳ	t		1100	
中午	trung ngọ	t		1095	
13日	13 nhật	t		1021	
现	hiện	tg		1014	
1月10日	1 nguyệt 10 nhật	t		1014	
清	thanh	tg		962	
1月13日	1 nguyệt 13 nhật	t		945	
1月14日	1 nguyệt 14 nhật	t		934	
1月1日	1 nguyệt 1 nhật	t		906	
14日	14 nhật	t		905	
2010年	2010 niên	t		903	
月底	nguyệt để	t		900	
9日	9 nhật	t		890	
12日	12 nhật	t		885	
以往	dĩ vãng	t		857	
10日	10 nhật	t		827	
11日	11 nhật	t		812	
当晚	đương vãn	t		778	
