这	giá	rzv		35510	
其	kỳ	rz		14958	
该	cai	rz		12859	
这个	giá cá	rz		9716	
某	mỗ	rz		9460	
其中	kỳ trung	rz		8626	
这些	giá ta	rz		8419	
这样	giá dạng	rzv		7091	
各	các	rz		5828	
其他	kỳ tha	rzv		5430	
那	na	rzv		3910	
此	thử	rzs		3398	
此次	thử thứ	rz		3012	
本	bản	rz		2912	
各种	các chủng	rz		2814	
每	mỗi	rz		2770	
这么	giá ma	rz		2658	
有些	hữu ta	rz		2598	
任何	nhậm hà	rz		2568	
之一	chi nhất	rz		2548	
这里	giá lý	rzs		2495	
有的	hữu đích	rz		2313	
各地	các địa	rzs		1944	
如此	như thử	rzv		1851	
那些	na ta	rz		1608	
本报	bản báo	rz		1320	
一切	nhất thiết	rz		1318	
那个	na cá	rz		988	
各个	các cá	rz		914	
本身	bản thân	rz		808	
这时	giá thời	rzt		694	
那样	na dạng	rzv		677	
其余	kỳ dư	rz		672	
各界	các giới	rz		627	
那里	na lý	rzs		616	
各国	các quốc	rzs		498	
此举	thử cử	rzv		466	
某些	mỗ ta	rz		464	
其它	kỳ tha	rz		458	
本地	bản địa	rzs		392	
那时	na thời	rzt		384	
别的	biệt đích	rzv		362	
后者	hậu giả	rzv		310	
各族	các tộc	rz		300	
某种	mỗ chủng	rz		265	
另	lánh	rz		260	
之类	chi loại	rz		260	
两者	lưỡng giả	rzv		243	
那边	na biên	rzs		202	
这边	giá biên	rzs		191	
某个	mỗ cá	rz		189	
这儿	giá nhi	rzs		164	
诸	chư	rz		161	
本国	bản quốc	rzs		144	
各家	các gia	rz		143	
前者	tiền giả	rzv		137	
这天	giá thiên	rzt		111	
二者	nhị giả	rzv		90	
那儿	na nhi	rzs		87	
这时候	giá thời hậu	rzt		87	
此行	thử hành	rzv		71	
他国	tha quốc	rzs		65	
此间	thử gian	rzs		63	
然	nhiên	rz		60	
各处	các xử	rzs		45	
彼	bỉ	rz		42	
别国	biệt quốc	rzs		36	
本刊	bản san	rz		24	
此言	thử ngôn	rz		20	
别处	biệt xử	rzs		18	
某部	mỗ bộ	rz		16	
那会儿	na hội nhi	rzt		13	
他乡	tha hương	rzs		11	
各样	các dạng	rz		8	
这会儿	giá hội nhi	rzt		4	
这么些	giá ma ta	rz		2	
那么些	na ma ta	rz		1	
