这	cái này	Rdem
这么	như vậy	Rdem
这些	chút này	Rdem
这个	cái này	Rdem	1
这样	như vậy	Rdem
这里	nơi này	Rdem
这时	lúc này	Rdem
这儿	nơi này	Rdem
这天	hôm nay	Rdem
这边	bên này	Rdem
这会儿	lúc này	Rdem

那	cái kia	Rdem
那儿	nơi đó	Rdem
那么	như thế	Rdem
那些	chút kia	Rdem
那里	chỗ đó	Rdem
那样	như thế	Rdem
那个	cái kia	Rdem
那种	loại kia	Rdem
那时	lúc kia	Rdem
那位	vị kia	Rdem

每	mỗi	Rdem
每年	hàng năm	Rdem
每次	mỗi lần	Rdem

此	này	Rdem
此次	lần này	Rdem
此间	nơi đây	Rdem
此后	về sau	Rdem
此前	trước đây	Rdem
此时	lúc này	Rdem
此刻	giờ này	Rdem
此举	cử động này	Rdem
此行	chuyến này	Rdem
此处	nơi này	Rdem
此地	nơi đây	Rdem
如此	như thế	Rdem

各	mỗi	Rdem
各级	các cấp	Rdem
各种	các loại	Rdem
各地	các nơi	Rdem
各国	các nước	Rdem
各界	các giới	Rdem
各个	mỗi cái	Rdem
各类	các loại	Rdem
各族	các tộc	Rdem
各方	các bên	Rdem
各种各样	đủ loại	Rdem

之	chi	Rdem	1
之一	một trong	Rdem	1
之类	các kiểu	Rdem	1

本	bản	Rdem
本届	lần này	Rdem
本文	sách này	Rdem
本身	bản thân	Rdem
本地	bản địa	Rdem
本市	bản thị	Rdem
本国	nước mình	Rdem

我国	nước ta	Rdem
我军	quân ta	Rdem

他乡	tha hương	Rdem
他国	nước khác	Rdem

其	khác	Rdem	1
其他	khác	Rdem
其中	trong đó	Rdem
其它	cái khác	Rdem
其余	còn lại	Rdem
其一	thứ nhất	Rdem
其二	thứ hai	Rdem
其三	thứ ba	Rdem

别	cái khác	Rdem
别的	khác	Rdem
别国	nước khác	Rdem
别样	kiểu khác	Rdem

某	nào đó	Rdem
某些	chút nào	Rdem
某种	loại nào	Rdem
某个	mỗi cái	Rdem

者	người	Rdem
两者	hai bên	Rdem
后者	người sau	Rdem
前者	người trước	Rdem
二者	hai người	Rdem

该	ấy	Rdem	1
有的	có	Rdem
任何	bất kỳ	Rdem
另	khác	Rdem

一切	hết thảy	Rdem
有些	có chút	Rdem
另外	ngoài ra	Rdem

哪	nào	Rdem	0

诸	chư	Rdem

如是	như thế	Rdem

彼	kia	Rdem
