这种	giá chủng	r		4897	
每天	mỗi thiên	r		3249	
有人	hữu nhân	r		3099	
这次	giá thứ	r		2335	
每年	mỗi niên	r		2297	
各项	các hạng	r		1834	
各级	các cấp	r		1793	
这位	giá vị	r		1767	
此事	thử sự	r		1495	
各类	các loại	r		1464	
每个	mỗi cá	r		1450	
我市	ngã thị	r		1269	
每日	mỗi nhật	r		1109	
此时	thử thời	r		988	
每次	mỗi thứ	r		986	
本次	bản thứ	r		947	
每月	mỗi nguyệt	r		890	
这项	giá hạng	r		699	
这份	giá phần	r		648	
每人	mỗi nhân	r		611	
这家	giá gia	r		595	
这部	giá bộ	r		584	
本月	bản nguyệt	r		582	
此案	thử án	r		580	
某某	mỗ mỗ	r		580	
这段	giá đoạn	r		544	
这场	giá trường	r		534	
该剧	cai kịch	r		521	
各方	các phương	r		508	
本市	bản thị	r		495	
该县	cai huyện	r		457	
该校	cai hiệu	r		440	
每周	mỗi chu	r		415	
本届	bản giới	r		388	
该车	cai xa	r		376	
那天	na thiên	r		362	
此类	thử loại	r		358	
那种	na chủng	r		357	
这笔	giá bút	r		325	
该市	cai thị	r		304	
该局	cai cục	r		301	
该案	cai án	r		299	
我会	ngã hội	r		298	
该院	cai viện	r		279	
其他人	kỳ tha nhân	r		249	
该片	cai phiến	r		241	
本书	bản thư	r		207	
本文	bản văn	r		201	
这支	giá chi	r		187	
该国	cai quốc	r		184	
这批	giá phê	r		184	
各省	các tỉnh	r		183	
任何人	nhậm hà nhân	r		173	
这块	giá khối	r		173	
该项	cai hạng	r		173	
我县	ngã huyện	r		166	
该行	cai hành	r		164	
本案	bản án	r		160	
每晚	mỗi vãn	r		159	
各县	các huyện	r		157	
这套	giá sáo	r		142	
该区	cai khu	r		137	
此项	thử hạng	r		137	
该省	cai tỉnh	r		136	
那位	na vị	r		130	
在下	tại hạ	r		130	
该村	cai thôn	r		130	
剩女	thặng nữ	r		125	
此人	thử nhân	r		125	
各市	các thị	r		122	
每位	mỗi vị	r		119	
