这种	giá chủng	r		159	
那	na	r		1	
该	cai	r		1	
这次	giá thứ	r		90	
各项	các hạng	r		72	
有人	hữu nhân	r		46	
每天	mỗi thiên	r		35	
这部	giá bộ	r		28	
该行	cai hành	r		28	
这项	giá hạng	r		24	
本法	bản pháp	r		17	
该县	cai huyện	r		13	
那天	na thiên	r		13	
本次	bản thứ	r		13	
这家	giá gia	r		12	
该校	cai hiệu	r		12	
每月	mỗi nguyệt	r		11	
该书	cai thư	r		11	
该市	cai thị	r		10	
这块	giá khối	r		10	
此事	thử sự	r		10	
该剧	cai kịch	r		10	
本轮	bản luân	r		9	
每周	mỗi chu	r		8	
该局	cai cục	r		7	
此案	thử án	r		7	
各省	các tỉnh	r		6	
该所	cai sở	r		6	
每人	mỗi nhân	r		5	
该村	cai thôn	r		5	
每桶	mỗi dũng	r		5	
该片	cai phiến	r		4	
该案	cai án	r		4	
该院	cai viện	r		4	
该党	cai đảng	r		4	
诸事	chư sự	r		4	
每晚	mỗi vãn	r		3	
本村	bản thôn	r		3	
该国	cai quốc	r		3	
该项	cai hạng	r		3	
他家	tha gia	r		3	
那场	na trường	r		3	
各式	các thức	r		3	
本栏	bản lan	r		3	
此风	thử phong	r		3	
该镇	cai trấn	r		3	
每日	mỗi nhật	r		3	
各派	các phái	r		3	
本案	bản án	r		3	
各党	các đảng	r		3	
该报	cai báo	r		2	
本版	bản bản	r		2	
本镇	bản trấn	r		2	
每亩	mỗi mẫu	r		2	
该省	cai tỉnh	r		2	
每家	mỗi gia	r		2	
该部	cai bộ	r		2	
各区	các khu	r		2	
你报	nhĩ báo	r		2	
本级	bản cấp	r		2	
该厂	cai xưởng	r		2	
各队	các đội	r		2	
各科	các khoa	r		2	
本书	bản thư	r		2	
某市	mỗ thị	r		2	
各业	các nghiệp	r		2	
这话	giá thoại	r		2	
我市	ngã thị	r		2	
她家	tha gia	r		2	
该车	cai xa	r		2	
各县	các huyện	r		2	
何种	hà chủng	r		2	
此役	thử dịch	r		2	
该州	cai châu	r		2	
本片	bản phiến	r		2	
各路	các lộ	r		1	
每户	mỗi hộ	r		1	
本港	bản cảng	r		1	
本社	bản xã	r		1	
这方	giá phương	r		1	
该路	cai lộ	r		1	
该刊	cai san	r		1	
其父	kỳ phụ	r		1	
每篇	mỗi thiên	r		1	
此类	thử loại	r		1	
此话	thử thoại	r		1	
诸国	chư quốc	r		1	
每间	mỗi gian	r		1	
该类	cai loại	r		1	
本期	bản kỳ	r		1	
各行	các hành	r		1	
某省	mỗ tỉnh	r		1	
己见	kỷ kiến	r		1	
该区	cai khu	r		1	
此生	thử sinh	r		1	
该寺	cai tự	r		1	
其他人	kỳ tha nhân	r		1	
该病	cai bệnh	r		1	
该社	cai xã	r		1	
是役	thị dịch	r		1	
该机	cai cơ	r		1	
该地	cai địa	r		1	
谁个	thuỳ cá	r		1	
此片	thử phiến	r		1	
每场	mỗi trường	r		1	
每股	mỗi cổ	r		1	
我盟	ngã minh	r		1	
此文	thử văn	r		1	
我家	ngã gia	r		1	
本校	bản hiệu	r		1	
本园	bản viên	r		1	
我院	ngã viện	r		1	
那段	na đoạn	r		1	
每份	mỗi phần	r		1	
各市	các thị	r		1	
各卷	các quyển	r		1	
其时	kỳ thời	r		1	
本剧	bản kịch	r		1	
该馆	cai quán	r		1	
本行	bản hành	r		1	
该台	cai đài	r		1	
本乡	bản hương	r		1	
此信	thử tín	r		1	
每期	mỗi kỳ	r		1	
