什么	thậm ma	ry		4706	
如何	như hà	ryv		3357	
谁	thuỳ	ry		2355	
怎么	chẩm ma	ryv		2353	
为什么	vi thậm ma	ryv		1687	
多少	đa thiểu	ry		1411	
为何	vi hà	ryv		997	
哪些	na ta	ry		957	
哪	na	ry		759	
怎样	chẩm dạng	ryv		732	
哪里	na lý	rys		645	
何	hà	ry		600	
啥	xá	ry		555	
怎么办	chẩm ma biện	ryv		404	
什么样	thậm ma dạng	ryv		393	
哪个	na cá	ry		391	
何时	hà thời	ryt		318	
多久	đa cửu	ryt		288	
怎么样	chẩm ma dạng	ryv		262	
哪种	na chủng	ry		159	
哪儿	na nhi	rys		159	
咋	trách	ryv		136	
何处	hà xử	rys		83	
孰	thục	ry		52	
怎	chẩm	ryv		34	
何人	hà nhân	ry		27	
啥子	xá tử	ry		18	
怎么着	chẩm ma trứ	ryv		14	
何日	hà nhật	ryt		9	
哪样	na dạng	ry		6	
几多	kỷ đa	ry		4	
