什么	thậm ma	ry		122	
如何	như hà	ryw		107	
多少	đa thiểu	ry		67	
谁	thuỳ	ry		60	
怎样	chẩm dạng	ry		46	
怎么	chẩm ma	ry		35	
何	hà	ry		10	
为什么	vi thậm ma	ry		20	
哪些	na ta	ry		14	
哪	na	ry		13	
哪里	na lý	ry		14	
啥	xá	ry		14	
哪个	na cá	ry		7	
什么样	thậm ma dạng	ry		6	
怎	chẩm	ry		6	
为何	vi hà	ry		5	
怎么样	chẩm ma dạng	ry		4	
多久	đa cửu	ry		3	
咋	trách	ry		3	
哪儿	na nhi	ry		2	
什么的	thậm ma đích	ry		2	
何时	hà thời	ry		2	
缘何	duyên hà	ry		2	
几多	kỷ đa	ry		1	
孰	thục	ry		1	
怎么办	chẩm ma biện	ry		1	
焉	yên	ry		1	
何人	hà nhân	ry		1	
