他	tha	rr		962	
我们	ngã môn	rr		629	
我	ngã	rr		556	
他们	tha môn	rr		375	
自己	tự kỷ	rr		275	
她	tha	rr		257	
你	nhĩ	rr		238	
它	tha	rr		196	
自	tự	rr		10	
大家	đại gia	rr		65	
它们	tha môn	rr		53	
自身	tự thân	rr		43	
别人	biệt nhân	rr		40	
她们	tha môn	rr		39	
你们	nhĩ môn	rr		37	
您	nâm	rr		35	
自我	tự ngã	rr		24	
各自	các tự	rr		21	
人家	nhân gia	rr		9	
彼此	bỉ thử	rr		16	
本人	bản nhân	rr		11	
他人	tha nhân	rr		8	
俺	yêm	rr		8	
咱	cha	rr		5	
自家	tự gia	rr		5	
己	kỷ	rr		3	
诸位	chư vị	rr		3	
咱们	cha môn	rr		2	
大伙儿	đại hoả nhi	rr		2	
乃	nãi	rr		2	
我方	ngã phương	rr		2	
某某	mỗ mỗ	rr		2	
各位	các vị	rr		1	
您老	nâm lão	rr		1	
他俩	tha lưỡng	rr		1	
吾	ngô	rr		1	
我辈	ngã bối	rr		1	
