我	ta	Rper
我们	chúng ta	Rper
我辈	thế hệ ta	Rper
咱	ta	Rper
咱们	bọn ta	Rper
俺	tau	Rper
俺们	chúng tau	Rper
臣	thần	Rper
朕	trẫm	Rper
吾	ngô	Rper
人家	người ta	Rper	1
我方	bên ta	Rper
我們	chúng ta	Rper	1


你	ngươi	Rper
你们	các ngươi	Rper
您	ngài	Rper
你们	các ngài	Rper
伱	ngươi	Rper
伱	nễ	Rper
伱们	các ngươi	Rper
您老	ngài lão	Rper
诸位	chư vị	Rper

他	hắn	Rper
他们	bọn hắn	Rper
她	nàng	Rper
她们	bọn nàng	Rper
它	nó	Rper
它们	bọn nó	Rper
其	nó	Rper
其们	chúng nó	Rper

自己	bản thân	Rr_ziji_0	3
自己	mình	Rr_ziji_1	2
自己	chính	Rr_ziji_2	1

大家	mọi người	Rper
自身	bản thân	Rper

别人	người khác	Rper
本人	bản thân	Rper
他人	người khác	Rper

各自	từng người	Rper	1

自我	tự mình	Rper
自家	nhà mình	Rper

彼此	lẫn nhau	Rper
各位	các vị	Rper
己	mình	Rper
大伙	mọi người	Rper
旁人	người bên ngoài	Rper
大伙儿	mọi người	Rper
某人	người nào đó	Rper

自个儿	bản thân	Rper
厥	quyết	Rper

大家伙儿	tất cả mọi người	Rper

自	tự	Rper	1
乃	chính là	Rper

某某	nào đó	Rper
他俩	hai người bọn họ	Rper
