是	thị	r		6	
这	giá	r		3198	
他	tha	r		2825	
我们	ngã môn	r		2027	
我	ngã	r		1802	
本报	bản báo	r		1467	
他们	tha môn	r		1354	
之	chi	r		123	
自己	tự kỷ	r		932	
其	kỳ	r		817	
各	các	r		689	
它	tha	r		663	
这些	giá ta	r		652	
她	tha	r		646	
这个	giá cá	r		628	
你	nhĩ	r		571	
此	thử	r		536	
这种	giá chủng	r		489	
这样	giá dạng	r		479	
那	na	r		436	
其中	kỳ trung	r		444	
其他	kỳ tha	r		380	
该	cai	r		301	
这里	giá lý	r		355	
各级	các cấp	r		338	
本	bản	r		161	
各种	các chủng	r		316	
什么	thậm ma ma	r		310	
有的	hữu đích	r		295	
各地	các địa	r		288	
自	tự	r		33	
如何	như hà	r		278	
这次	giá thứ	r		259	
每	mỗi	r		253	
大家	đại gia	r		240	
各项	các hạng	r		222	
任何	nhậm hà	r		222	
胡	hồ	Rg		1	
每年	mỗi niên	r		212	
之一	chi nhất	r		202	
何	hà	r		24	
各国	các quốc	r		182	
一切	nhất thiết	r		177	
谁	thuỳ	r		174	
另	lánh	r		124	
多少	đa thiểu thiếu	r		160	
有人	hữu nhân	r		152	
那些	na ta	r		143	
各界	các giới	r		137	
有些	hữu ta	r		137	
那么	na ma ma	r		80	
它们	tha môn	r		131	
如此	như thử	r		130	
你们	nhĩ môn	r		126	
自身	tự thân	r		126	
此次	thử thứ	r		124	
怎么	chẩm ma ma	r		123	
每天	mỗi thiên	r		119	
各个	các cá	r		118	
每个	mỗi cá	r		110	
此间	thử gian	r		107	
某	mỗ	r		107	
各类	các loại	r		107	
这项	giá hạng	r		103	
伊	y	Rg		2	
您	nâm	r		97	
这么	giá ma	r		93	
怎样	chẩm dạng	r		93	
别人	biệt nhân	r		86	
其它	kỳ tha	r		85	
另外	lánh ngoại	r		16	
各族	các tộc	r		76	
她们	tha môn	r		77	
为什么	vi thậm ma ma	r		75	
人家	nhân gia	r		30	
那里	na lý	r		70	
那样	na dạng	r		68	
某些	mỗ ta	r		67	
