是	là /thị	r		6	
这	này /giá	r		3198	
他	hắn/anh ta/hắn ta /tha	r		2825	
我们	chúng ta /ngã môn	r		2027	
我	ta /ngã	r		1802	
本报	? /bản báo	r		1467	
他们	bọn hắn/bọn họ /tha môn	r		1354	
之	chi /chi	r		123	
自己	bản thân/chính mình /tự kỷ	r		932	
其	nó/hắn /kỳ	r		817	
各	mỗi /các	r		689	
它	nó /tha	r		663	
这些	chút này/những này /giá ta	r		652	
她	nàng/cô ta /tha	r		646	
这个	cái này /giá cá	r		628	
你	ngươi /nhĩ	r		571	
此	này /thử	r		536	
这种	loại này /giá chủng	r		489	
这样	như vậy/dạng này/như thế này /giá dạng	r		479	
那	kia /na	r		436	
其中	trong đó /kỳ trung	r		444	
其他	khác/cái khác /kỳ tha	r		380	
该	nên/cần /cai	r		301	
这里	nơi này /giá lý	r		355	
各级	các cấp /các cấp	r		338	
本	bổn/vốn/Ben/bản /bản	r		161	
各种	các loại /các chủng	r		316	
什么	cái gì /thậm ma ma	r		310	
有的	có /hữu đích	r		295	
各地	các nơi /các địa	r		288	
自	từ/tự /tự	r		33	
如何	thế nào /như hà	r		278	
这次	lần này /giá thứ	r		259	
每	mỗi /mỗi	r		253	
大家	mọi người/đại gia /đại gia	r		240	
各项	các hạng /các hạng	r		222	
任何	bất kỳ /nhậm hà	r		222	
胡	hồ /hồ	Rg		1	
每年	hàng năm /mỗi niên	r		212	
之一	một trong/một trong những/chi nhất /chi nhất	r		202	
何	gì/Hà /hà	r		24	
各国	các quốc gia /các quốc	r		182	
一切	hết thảy/mọi/tất cả /nhất thiết	r		177	
谁	ai /thuỳ	r		174	
另	khác /lánh	r		124	
多少	nhiều ít /đa thiểu thiếu	r		160	
有人	có người /hữu nhân	r		152	
那些	chút kia /na ta	r		143	
各界	các giới /các giới	r		137	
有些	có chút /hữu ta	r		137	
那么	thế kia/như thế/như vậy /na ma ma	r		80	
它们	chúng nó /tha môn	r		131	
如此	như thế /như thử	r		130	
你们	các ngươi /nhĩ môn	r		126	
自身	tự thân/bản thân /tự thân	r		126	
此次	lần này /thử thứ	r		124	
怎么	thế nào/làm sao /chẩm ma ma	r		123	
每天	mỗi ngày/hàng ngày /mỗi thiên	r		119	
各个	mỗi cái /các cá	r		118	
每个	? /mỗi cá	r		110	
此间	nơi đây /thử gian	r		107	
某	nào đó/mỗ /mỗ	r		107	
各类	các loại /các loại	r		107	
这项	? /giá hạng	r		103	
伊	y /y	Rg		2	
您	ngài /nâm	r		97	
这么	thế này/như vậy /giá ma	r		93	
怎样	như thế nào/Chẩm Dạng /chẩm dạng	r		93	
别人	người khác /biệt nhân	r		86	
其它	khác /kỳ tha	r		85	
另外	mặt khác/ngoài ra /lánh ngoại	r		16	
各族	các tộc /các tộc	r		76	
她们	các nàng/các cô ấy /tha môn	r		77	
为什么	vì cái gì /vi thậm ma ma	r		75	
人家	người ta/nhân gia /nhân gia	r		30	
那里	chỗ đó /na lý	r		70	
那样	như thế/dạng kia/như vậy /na dạng	r		68	
某些	nào đó /mỗ ta	r		67	
其次	tiếp theo/thứ hai /kỳ thứ	r		16	
这部	? /giá bộ	r		67	
各自	riêng phần mình/từng người/tương ứng /các tự	r		63	
本身	bản thân /bản thân	r		63	
那种	loại kia/cái loại đó/loại nào /na chủng	r		59	
