## đại từ nhân xưng
### ngôi thứ nhất
我	pro_per1	people
我们	pro_per1	plural | people
咱	pro_per1	people
咱们	pro_per1	plural | people
俺	pro_per1	people
俺们	pro_per1	plural | people
臣	pro_per1	people
朕	pro_per1	people

### ngôi thứ hai
你	pro_per2	people
你们	pro_per2	plural | people
您	pro_per2	people
你们	pro_per2	plural | people
伱	pro_per2	people
伱们	pro_per2	plural | people

### ngôi thứ ba
他	pro_per3	people
他们	pro_per3	plural | people
她	pro_per3	people
她们	pro_per3	plural | people
它	pro_per3	people
它们	pro_per3	plural | people

自己	pro_ziji	people
其	pro_qu2	people
其们	pro_qu2	plural | people

## đại từ chỉ thị
这	pro_zhe	at_tail
那	pro_na1	at_tail
每	pro_mei

这里	pro_dem
那儿	pro_dem
这样	pro_dem
那样	pro_dem
那么	pro_dem
其他	pro_dem
别的	pro_dem

## đại từ nghi vấn
几	pro_ji
哪	pro_na2	at_tail
谁	pro_shei

多少	pro_int
哪里	pro_int
怎样	pro_int
哪儿	pro_int
哪里	pro_int
什么	pro_int
怎么	pro_int
怎么样	pro_int
怎能	pro_int
怎的	pro_int
几时	pro_int
多少	pro_int
若干	pro_int
为何	pro_int
为什么	pro_int
何	pro_int
如何	pro_int
啥	pro_int
为啥	pro_int
咋	pro_int
