个	cá	q		23295	
元	nguyên	q		11824	
名	danh	q		10262	
万元	vạn nguyên	q		7653	
号	hiệu	q		6964	
家	gia	q		6830	
亿元	ức nguyên	q		5594	
两	lưỡng	q		4079	
届	giới	q		4560	
张	trương	q		4375	
米	mễ	q		4062	
位	vị	q		3925	
条	điều	q		3683	
款	khoản	q		3221	
件	kiện	q		3166	
项	hạng	q		3053	
部	bộ	q		2935	
种	chủng	q		2918	
类	loại	q		2899	
首	thủ	q		2895	
台	đài	q		2682	
方	phương	q		2549	
公里	công lý	q		2326	
美元	mỹ nguyên	q		2306	
级	cấp	q		2016	
平方米	bình phương mễ	q		1848	
座	toạ	q		1812	
户	hộ	q		1700	
辆	lượng	q		1594	
片	phiến	q		1484	
套	sáo	q		1440	
集	tập	q		1388	
克	khắc	q		1327	
倍	bội	q		1228	
段	đoạn	q		1222	
节	tiết	q		1210	
艘	tao	q		1124	
代	đại	q		1086	
双	song	q		1029	
亩	mẫu	q		968	
股	cổ	q		889	
些	ta	q		838	
厘米	li mễ	q		824	
吨	đốn	q		821	
栋	đống	q		814	
批	phê	q		792	
份	phần	q		758	
公斤	công cân	q		751	
块	khối	q		677	
斤	cân	q		645	
篇	thiên	q		631	
万吨	vạn đốn	q		544	
枚	mai	q		535	
封	phong	q		531	
辆车	lượng xa	q		523	
立方米	lập phương mễ	q		508	
周年	chu niên	q		432	
支	chi	q		430	
种种	chủng chủng	q		396	
万名	vạn danh	q		393	
卷	quyển	q		391	
摄氏度	nhiếp thị độ	q		383	
块钱	khối tiền	q		361	
周岁	chu tuế	q		357	
万辆	vạn lượng	q		349	
幅	bức	q		328	
毫米	hào mễ	q		328	
章	chương	q		323	
句话	cú thoại	q		322	
平米	bình mễ	q		306	
港元	cảng nguyên	q		304	
平方公里	bình phương công lý	q		302	
句	cú	q		294	
扇	phiến	q		294	
汪	uông	q		286	
英镑	anh bảng	q		262	
颗	khoả	q		255	
毫克	hào khắc	q		223	
桩	thung	q		210	
号楼	hiệu lâu	q		210	
页	hiệt	q		208	
亿吨	ức đốn	q		199	
角	giác	q		194	
英寸	anh thốn	q		189	
毫升	hào thăng	q		165	
万亿	vạn ức	q		145	
马力	mã lực	q		156	
桶	dũng	q		156	
册	sách	q		153	
层层	tầng tầng	q		153	
余年	dư niên	q		144	
千米	thiên mễ	q		142	
海里	hải lý	q		138	
韩元	hàn nguyên	q		138	
双双	song song	q		131	
卡路里	tạp lộ lý	q		130	
点钟	điểm chung	q		125	
公顷	công khoảnh	q		123	
磅	bàng	q		123	
千伏	thiên phục	q		115	
英里	anh lý	q		113	
棵	khoả	q		111	
千克	thiên khắc	q		110	
英尺	anh xích	q		104	
粒	lạp	q		101	
剂	tễ	q		100	
阵阵	trận trận	q		99	
担	đảm	q		98	
千人	thiên nhân	q		97	
步步	bộ bộ	q		96	
公分	công phân	q		94	
每吨	mỗi đốn	q		92	
点儿	điểm nhi	q		92	
封信	phong tín	q		90	
寸	thốn	q		85	
万条	vạn điều	q		81	
朵	đoá	q		79	
千瓦	thiên ngoã	q		76	
盎司	áng ty	q		74	
株	chu	q		68	
美金	mỹ kim	q		65	
匹	thất	q		64	
百岁	bách tuế	q		62	
十倍	thập bội	q		62	
百个	bách cá	q		59	
串	xuyến	q		58	
平方	bình phương	q		55	
幢	tràng	q		55	
千瓦时	thiên ngoã thời	q		52	
辑	tập	q		52	
莱	lai	q		51	
大卡	đại tạp	q		48	
连胜	liên thắng	q		47	
澳元	úc nguyên	q		44	
匹马	thất mã	q		42	
幕幕	mạc mạc	q		42	
尺	xích	q		39	
克拉	khắc lạp	q		39	
样样	dạng dạng	q		38	
微米	vi mễ	q		38	
沓	đạp	q		36	
比特	tỉ đặc	q		35	
毫秒	hào miểu	q		35	
万斤	vạn cân	q		34	
幕	mạc	q		33	
伙	hoả	q		32	
层楼	tầng lâu	q		29	
串串	xuyến xuyến	q		28	
丈	trượng	q		28	
千卡	thiên tạp	q		28	
十里	thập lý	q		27	
万头	vạn đầu	q		26	
加元	gia nguyên	q		26	
泓	hoằng	q		25	
十家	thập gia	q		24	
句句	cú cú	q		24	
缕	lũ	q		23	
靶	bá	q		22	
盏	trản	q		21	
公尺	công xích	q		21	
束	thúc	q		19	
蓬	bồng	q		19	
千亩	thiên mẫu	q		18	
赫	hách	q		18	
立方	lập phương	q		18	
厘	li	q		18	
千斤	thiên cân	q		17	
摞	loa	q		17	
盾	thuẫn	q		17	
兆瓦	triệu ngoã	q		16	
朵朵	đoá đoá	q		16	
华里	hoa lý	q		13	
声声	thanh thanh	q		13	
千伏安	thiên phục an	q		13	
泰铢	thái thù	q		12	
加仑	gia luân	q		12	
滴滴	tích tích	q		12	
道道	đạo đạo	q		11	
分贝	phân bối	q		10	
棵树	khoả thụ	q		10	
万顷	vạn khoảnh	q		10	
英亩	anh mẫu	q		9	
伦琴	luân cầm	q		9	
场场	trường trường	q		9	
组组	tổ tổ	q		8	
百种	bách chủng	q		8	
户户	hộ hộ	q		8	
斛	hộc	q		8	
万丈	vạn trượng	q		7	
彪	bưu	q		7	
股子	cổ tử	q		7	
顷	khoảnh	q		7	
便士	tiện sĩ	q		7	
堂课	đường khoá	q		6	
公升	công thăng	q		6	
镑	bảng	q		6	
千载	thiên tải	q		6	
缪	mâu	q		5	
普特	phổ đặc	q		4	
夸脱	khoa thoát	q		4	
一瞥	nhất miết	q		4	
安培	an bồi	q		4	
钧	quân	q		4	
坨	đà	q		4	
档子	đáng tử	q		4	
簇	thốc	q		3	
千户	thiên hộ	q		3	
帧	tránh	q		3	
片片	phiến phiến	q		3	
美分	mỹ phân	q		3	
市斤	thị cân	q		2	
口井	khẩu tỉnh	q		2	
焦耳	tiêu nhĩ	q		2	
根根	căn căn	q		2	
平方尺	bình phương xích	q		2	
群群	quần quần	q		2	
片儿	phiến nhi	q		2	
種種	chủng chủng	q		2	
赫兹	hách tư	q		2	
千兆	thiên triệu	q		1	
粒粒	lạp lạp	q		1	
毫安	hào an	q		1	
芥	giới	q		1	
先令	tiên lệnh	q		1	
V类	V loại	q		1	
撮	toát	q		1	
百尺	bách xích	q		1	
坚戈	kiên qua	q		1	
炷	chú	q		1	
號	hào	q		1	
铢	thù	q		1	
万伏	vạn phục	q		1	
公厘	công li	q		1	
畈	phán	q		1	
兆赫	triệu hách	q		1	
雷亚尔	lôi á nhĩ	q		1	
