钧	quân
袭	bộ
丈	trượng
招	chiêu
笔	bút
度	độ
处	chỗ
瓶	chai
石	thạch
丝	tia
抬	đài
里	dặm
米	mét
帮	đám
道	đạo
股	cỗ
更	canh
重	tầng
分	phần
只	con
本	quyển
种	loại
间	gian
声	tiếng
代	đời
圈	vòng
场	trận
轮	vầng
步	bước
盘	khay
茬	vụ
餐	bữa
架	khung
期	kỳ
层	tầng
门	môn
转	vòng
架次	lượt chiếc
场次	lượt diễn
人次	lượt người
站	trạm
拨	tốp
家	nhà
张	trương
线	tuyến
口	miệng
笼	lồng
剂	liều
桩	cọc
堂	đường
所	chỗ
叠	xấp
骑	cỗ
锅	nồi
捧	vốc
身	thân
次	lần
两	lượng
数	mấy
趟	chuyến
响	tiếng
列	nhóm
批	tốp
枝	cành
本	bản
种	loại
顶	đỉnh
回	hồi
包	bao
家	nhà
针	kim
行	hàng
团	đoàn
样	dạng
格	ô vuông
起	kiện
纸	giấy
顿	bữa
袋	túi
盘	bàn
端	đầu
说	lời
代	đời
批	lô
极	cực
盒	hộp
抹	vệt
两	lượng
