对	đối	q		52	
等	đẳng	q		3	
个	cá	q		2631	
年	niên	q		2421	
两	lưỡng	q		2	
着	trứ	q		1	
把	bả	q		41	
元	nguyên	q		1536	
下	hạ	q		16	
出	xuất	q		19	
张	trương	q		439	
次	thứ	q		1083	
名	danh	q		932	
副	phó	q		27	
起	khởi	q		110	
所	sở	q		100	
里	lý	q		90	
种	chủng	q		770	
位	vị	q		818	
家	gia	q		577	
条	điều	q		649	
美元	mỹ nguyên	q		535	
只	chích	q		134	
天	thiên	q		503	
项	hạng	q		563	
周	chu	q		44	
成	thành	q		21	
届	giới	q		467	
批	phê	q		393	
岁	tuế	q		390	
米	mễ	q		347	
首	thủ	q		58	
分	phân	q		199	
则	tắc	q		11	
本	bản	q		76	
开	khai	q		1	
点	điểm	q		223	
件	kiện	q		268	
系列	hệ liệt	q		174	
间	gian	q		57	
户	hộ	q		220	
场	trường	q		237	
日	nhật	q		77	
台	đài	q		177	
段	đoạn	q		187	
路	lộ	q		21	
打	đả	q		1	
吨	đốn	q		227	
亩	mẫu	q		214	
发	phát	q		4	
公里	công lý	q		193	
处	xử	q		43	
支	chi	q		167	
部	bộ	q		149	
手	thủ	q		5	
任	nhậm	q		11	
座	toạ	q		164	
回	hồi	q		23	
道	đạo	q		82	
站	trạm	q		8	
份	phần	q		157	
头	đầu	q		53	
重	trọng	q		6	
片	phiến	q		136	
套	sáo	q		135	
方	phương	q		56	
号	hiệu	q		89	
车	xa	q		9	
块	khối	q		124	
周年	chu niên	q		128	
公斤	công cân	q		128	
代	đại	q		95	
步	bộ	q		109	
行	hành	q		15	
些	ta	q		120	
句	cú	q		117	
倍	bội	q		111	
轮	luân	q		110	
人次	nhân thứ	q		113	
篇	thiên	q		105	
级	cấp	q		99	
叶	diệp	q		1	
平方米	bình phương mễ	q		108	
口	khẩu	q		68	
类	loại	q		80	
包	bao	q		12	
队	đội	q		12	
线	tuyến	q		30	
面	diện	q		44	
辆	lượng	q		89	
门	môn	q		23	
局	cục	q		17	
分钟	phân chung	q		84	
期	kỳ	q		73	
双	song	q		19	
架	giá	q		52	
夜	dạ	q		25	
歌	ca	q		1	
帮	bang	q		1	
章	chương	q		41	
文	văn	q		2	
根	căn	q		52	
幅	bức	q		73	
层	tầng	q		67	
封	phong	q		56	
股	cổ	q		47	
笔	bút	q		44	
汪	uông	q		1	
枚	mai	q		67	
日元	nhật nguyên	q		1	
身	thân	q		13	
记	ký	q		1	
排	bài	q		5	
程	trình	q		6	
票	phiếu	q		5	
种种	chủng chủng	q		59	
声	thanh	q		38	
顶	đỉnh	q		21	
通	thông	q		3	
集	tập	q		26	
具	cụ	q		3	
秒	miểu	q		56	
摄氏度	nhiếp thị độ	q		52	
派	phái	q		2	
团	đoàn	q		4	
群	quần	q		36	
港元	cảng nguyên	q		2	
遍	biến	q		32	
列	liệt	q		4	
杯	bôi	q		31	
颗	khoả	q		43	
例	lệ	q		8	
款	khoản	q		18	
眼	nhãn	q		13	
组	tổ	q		26	
卷	quyển	q		29	
度	độ	q		28	
艘	tao	q		38	
克	khắc	q		18	
案	án	q		1	
响	hưởng	q		1	
册	sách	q		34	
载	tải	q		7	
