对	đối	qj		12	
年	niên	qt		838	
等	đẳng	qz		2	
个	cá	qe		764	
个	cá	q		1	
两	lưỡng	qd		2	
把	bả	qe		7	
把	bả	qc		6	
下	hạ	qv		6	
元	nguyên	qd		409	
出	xuất	qe		4	
起	khởi	qe		35	
位	vị	qe		268	
所	sở	qe		37	
里	lý	qd		23	
次	thứ	qv		279	
美元	mỹ nguyên	qd		208	
种	chủng	qz		226	
名	danh	qe		229	
家	gia	qe		168	
副	phó	qe		2	
只	chích	qe		54	
条	điều	qe		175	
天	thiên	qt		154	
张	trương	qe		152	
项	hạng	qe		137	
成	thành	qz		4	
届	giới	qe		123	
岁	tuế	qt		114	
批	phê	qj		114	
户	hộ	qe		89	
本	bản	qe		32	
则	tắc	qe		3	
分	phân	qd		15	
分	phân	qj		5	
分	phân	qt		4	
开	khai	qd		1	
米	mễ	qd		75	
首	thủ	qe		13	
部	bộ	qe		71	
点	điểm	qb		32	
点	điểm	qe		20	
件	kiện	qe		72	
台	đài	qe		60	
路	lộ	qv		7	
亩	mẫu	qd		71	
场	trường	qv		62	
间	gian	qe		10	
道	đạo	qe		19	
道	đạo	qc		5	
道	đạo	qv		1	
级	cấp	qe		28	
级	cấp	qz		26	
周	chu	qt		11	
周	chu	qv		1	
发	phát	qe		2	
段	đoạn	qc		50	
任	nhậm	qv		6	
公里	công lý	qd		54	
代	đại	qj		39	
座	toạ	qe		53	
套	sáo	qj		48	
日	nhật	qt		19	
手	thủ	q		2	
支	chi	qe		48	
份	phần	qj		49	
块	khối	qe		23	
块	khối	qc		13	
块	khối	qd		9	
公斤	công cân	qd		47	
处	xử	qe		18	
头	đầu	qe		19	
行	hành	qc		10	
重	trọng	qc		2	
期	kỳ	qv		35	
篇	thiên	qe		41	
周年	chu niên	qt		40	
吨	đốn	qd		40	
回	hồi	qv		5	
回	hồi	qe		3	
车	xa	qr		2	
步	bộ	qv		34	
些	ta	qb		38	
片	phiến	qc		27	
片	phiến	qe		3	
类	loại	qz		27	
门	môn	qz		6	
门	môn	qe		3	
句	cú	qe		29	
人次	nhân thứ	qv		31	
面	diện	qe		15	
幅	bức	qe		28	
