和	hoà	cc		93609
与	dữ	cc		33565
但	đãn	c		24214
而	nhi	cc		21795
并	tịnh	cc		21338
及	cập	cc		10524
或	hoặc	c		9996
同时	đồng thời	c		8785
如果	như quả	c		8513
因为	nhân vi	c		7696
还是	hoàn thị	c		6367
不是	bất thị	c		6299
以及	dĩ cập	cc		5968
但是	đãn thị	c		5556
虽然	tuy nhiên	c		4834
不过	bất quá	c		4758
所以	sở dĩ	c		4357
因此	nhân thử	c		4052
只有	chích hữu	c		3825
不仅	bất cận	c		3563
而且	nhi thả	c		3545
此外	thử ngoại	c		3512
或者	hoặc giả	c		3273
那么	na ma	c		2967
另外	lánh ngoại	c		2640
且	thả	c		2208
然而	nhiên nhi	c		1985
然后	nhiên hậu	c		1944
只要	chỉ yếu	c		1849
而是	nhi thị	c		1809
尽管	tẫn quản	c		1710
并且	tịnh thả	c		1618
于是	vu thị	cc		1520
既	kí	c		1459
是因为	thị nhân vi	c		1276
若	nhược	c		1251
及其	cập kỳ	cc		1182
可是	khả thị	c		1100
即使	tức sử	c		1048
从而	tòng nhi	c		1009
虽	tuy	c		844
不管	bất quản	c		822
不但	bất đãn	c		743
一方面	nhất phương diện	c		704
无论	vô luận	c		692
另一方面	lánh nhất phương diện	c		683
又是	hựu thị	c		656
与此同时	dữ thử đồng thời	c		641
无论是	vô luận thị	c		618
否则	phủ tắc	c		598
之所以	chi sở dĩ	c		570
其次	kỳ thứ	c		517
即便	tức tiện	c		490
就是说	tựu thị thuyết	c		481
乃至	nãi chí	c		441
暨	kị	cc		414
接着	tiếp trứ	c		410
以免	dĩ miễn	c		379
要是	yếu thị	c		369
既然	kí nhiên	c		358
一则	nhất tắc	c		357
可见	khả kiến	c		344
故	cố	c		314
进而	tiến nhi	c		300
因而	nhân nhi	c		288
既是	kí thị	c		273
不说	bất thuyết	c		265
不论	bất luận	c		238
要么	yếu ma	c		237
加之	gia chi	cc		227
哪怕	na phạ	c		192
不然	bất nhiên	c		177
假如	giả như	c		176
紧接着	khẩn tiếp trứ	c		156
再说	tái thuyết	c		141
除非	trừ phi	c		137
总之	tổng chi	c		129
固然	cố nhiên	c		129
不光	bất quang	c		123
以致	dĩ trí	c		113
虽说	tuy thuyết	c		108
要说	yếu thuyết	c		100
不论是	bất luận thị	c		95
以至于	dĩ chí ư	c		91
若是	nhược thị	c		88
非但	phi đãn	c		72
继而	kế nhi	c		71
转而	chuyển nhi	c		71
要不是	yếu bất thị	c		65
况且	huống thả	c		62
不只	bất chích	c		61
由此可见	do thử khả kiến	c		60
与其说	dữ kỳ thuyết	c		58
反之	phản chi	c		55
倘若	thảng nhược	c		54
何况	hà huống	c		51
不如说	bất như thuyết	c		51
换句话说	hoán cú thoại thuyết	c		47
要不然	yếu bất nhiên	c		47
换言之	hoán ngôn chi	cc		40
如若	như nhược	c		36
再者	tái giả	c		33
抑或	ức hoặc	c		30
诚然	thành nhiên	c		26
故而	cố nhi	c		24
不单	bất đơn	c		22
相对而言	tương đối nhi ngôn	c		20
纵然	tung nhiên	c		20
故此	cố thử	c		19
且不说	thả bất thuyết	c		19
尔后	nhĩ hậu	c		18
总而言之	tổng nhi ngôn chi	c		18
恰恰相反	kháp kháp tương phản	c		18
尚且	thượng thả	c		18
假若	giả nhược	c		13
纵使	tung sử	c		13
甭管	bằng quản	c		11
甚或	thậm hoặc	c		11
不独	bất độc	c		10
于是乎	vu thị hồ	c		8
再加之	tái gia chi	c		7
既然如此	kí nhiên như thử	c		7
反过来说	phản quá lai thuyết	c		6
乃至于	nãi chí ư	c		6
若非	nhược phi	c		5
综上所述	tổng thượng sở thuật	c		5
再则	tái tắc	c		5
总的来看	tổng đích lai khán	c		5
即令	tức lệnh	c		5
假使	giả sử	c		3
毋宁	vô ninh	c		3
总的来说	tổng đích lai thuyết	c		3
倘	thảng	c		3
总的说来	tổng đích thuyết lai	c		3
如上所述	như thượng sở thuật	c		2
非徒	phi đồ	c		2
從而	tòng nhi	c		1
进而言之	tiến nhi ngôn chi	c		1
然则	nhiên tắc	c		1
设若	thiết nhược	c		1
倘或	thảng hoặc	c		1
不惟	bất duy	c		1
