又	lại	Jj_you4
但	nhưng	Jj_dan4
或	hoặc	Jj_huo4
或是	hoặc là	Jj_huoshi

和	và	Jcreal
与	cùng	Jcreal
同	với	Jcreal
跟	cùng	Jcreal

和	cùng	?
和	cùng với	?
与	cùng	?
而	mà	?
并	đồng thời	?
并	còn	?
并	thật	?
并	and	?
并	tịnh	?
及	cho tới	?
及	tới	?
以及	cùng với	?
于是	thế là	?
及其	đạt đến	?
暨	kỵ	?
加之	thêm nữa	?
换言之	nói cách khác	?


甚至	cả đến	Jjword
甚至	thậm chí	Jjword
甚至	cả đến	Jcword
甚至	thậm chí	Jcword

及	cho tới	Jcword
及	tới	Jcword
况且	huống hồ	Jcword
以及	cùng với	Jcword
乃至	thậm chí	Jcword

和	cùng	?
和	cùng với	?
是	là	?
是	có	?
要	muốn	?
与	cùng	?
就	liền	?
以	để	?
以	lấy	?
并	đồng thời	?
并	còn	?
并	thật	?
并	and	?
并	tịnh	?
而	mà	?
又	thêm	?
又	lại	?
但	nhưng	?
方面	phía	?
方面	phương diện	?
同时	đồng thời	?
及	cho tới	?
及	tới	?
或	hoặc	?
可	nhưng	?
可	sẽ	?
可	có thể	?
才	mới	?
由于	bởi vì	?
那	kia	?
以及	cùng với	?
如	như	?
而且	đã thế	?
而且	mà còn	?
而且	mà	?
而且	với lại	?
而且	Với lại	?
因	tại vì	?
因	bởi vì	?
因	nhân	?
不仅	không chỉ	?
则	thì	?
因为	bởi vì	?
如果	nếu như	?
既	đã	?
因此	do đó	?
首先	trước tiên	?
但是	nhưng là	?
但是	nhưng mà	?
但是	nhưng	?
甚至	cả đến	?
甚至	thậm chí	?
即	tức	?
或者	hoặc là	?
然而	tuy nhiên	?
然而	nhưng mà	?
还是	vẫn là	?
还是	vẫn	?
还是	hay	?
还是	hay là	?
只有	chỉ có	?
而是	mà là	?
从而	theo đó	?
虽然	mặc dù	?
虽然	tuy nhiên	?
任	Nhiệm	?
任	nhậm	?
尽管	cứ việc	?
只要	chỉ cần	?
再次	lần nữa	?
那么	thế kia	?
那么	như thế	?
那么	như vậy	?
所以	vì thế	?
所以	vì	?
所以	cho nên	?
所以	sở dĩ	?
就是	chính là	?
于是	thế là	?
及其	đạt đến	?
虽	dù	?
虽	mặc dù	?
此外	ngoài ra	?
然后	tiếp đó	?
并且	hơn nữa	?
另外	mặt khác	?
另外	ngoài ra	?
一方面	một mặt	?
因而	do đó	?
因而	cho nên	?
只是	chỉ là	?
宁	Ninh	?
宁	thà	?
其次	thứ hai	?
其次	tiếp theo	?
即使	cho dù	?
即使	dù cho	?
与此同时	cùng lúc đó	?
乃至	thậm chí	?
无论	bất kể	?
无论	cho dù	?
不过	không lại	?
不过	tuy nhiên	?
不过	nhưng mà	?
不过	bất quá	?
不但	chẳng những	?
可是	nhưng là	?
另一方面	về phương diện khác	?
若	như	?
若	nhược	?
且	còn	?
接着	tiếp lấy	?
不管	mặc kệ	?
不管	bất kể	?
之所以	sở dĩ	?
否则	bằng không	?
不论	bất luận	?
总之	tóm lại	?
进而	sau đó	?
进而	tiến tới	?
加之	thêm nữa	?
可见	dễ thấy	?
可见	có thể thấy	?
要么	hoặc là	?
以至	cứ thế	?
即便	dù cho	?
乃	chính là	?
或是	hoặc là	?
再说	lại nói	?
再说	nói sau	?
再说	vả lại	?
再说	Vả lại	?
何况	huống hồ	?
何况	huống chi	?
假如	giả như	?
故	cố	?
以致	đến nỗi	?
不然	nếu không thì	?
不然	không phải vậy	?
不然	không vậy	?
暨	kỵ	?
以免	để tránh	?
既然	nếu bây giờ	?
既然	nếu	?
既然	như đã	?
不如	không bằng	?
若是	nếu là	?
继而	sau đó	?
继而	tiện đà	?
然	song	?
然	nhiên	?
由此可见	bởi vậy có thể thấy	?
不光	không riêng	?
宁可	thà rằng	?
要是	nếu như	?
要是	như là	?
倘	thảng	?
倘若	nếu như	?
虽说	tuy nói	?
况且	huống hồ	?
抑或	hay là	?
紧接着	ngay sau đó	?
以至于	đến mức	?
而后	rồi sau đó	?
非但	chẳng những	?
果然	quả nhiên	?
哪怕	cho dù	?
一来	vừa đến	?
二来	thứ hai	?
宁愿	thà rằng	?
反之	trái lại	?
诚然	quả thật	?
总的来说	tóm gọn lại nói	?
不是	không phải	?
纵	dọc	?
要不	nếu không	?
要不	hoặc là	?
果真	quả thật	?
尚且	còn	?
一则	thứ nhất	?
万一	chẳng may	?
万一	ngộ nhỡ	?
万一	vạn nhất	?
除非	trừ phi	?
要不是	nếu không phải là	?
尔后	về sau	?
不单	không chỉ	?
故而	cho nên	?
不只	không chỉ	?
不独	không riêng	?
假若	giả như	?
更有甚者	thậm chí	?
恰恰相反	hoàn toàn khác biệt	?
再者	hơn nữa	?
再者	lại nữa	?
要不然	nếu không thì	?
要不然	bằng không	?
且不说	không nói đến	?
总的说来	tổng quát mà nói	?
故此	vì vậy	?
综上所述	từ trên tổng hợp lại	?
这就是说	đây là giải thích	?
总而言之	tóm lại mà nói	?
若果	nhược quả	?
转而	ngược lại	?
莫若	chi bằng	?
再有	lại có	?
如若	nếu như	?
纵使	cho dù	?
甭管	không quan tâm	?
不说	không nói	?
换句话说	nói một cách khác	?
不如说	không bằng nói	?
具体地说	nói cụ thể	?
岂但	đâu chỉ	?
于是乎	kết quả là	?
既然如此	đã như vậy	?
