在	tại	p		3643	
和	hoà	p		73	
为	vi	p		799	
对	đối	p		994	
与	dữ	p		596	
到	đáo	p		175	
就	tựu	p		90	
以	dĩ	p		617	
将	tướng	p		266	
从	tòng	p		630	
把	bả	p		453	
向	hướng	p		373	
被	bị	p		363	
于	vu	p		363	
由	do	p		351	
给	cấp	p		218	
据	cứ	p		274	
通过	thông quá	p		178	
有关	hữu quan	p		30	
用	dụng	p		138	
同	đồng	p		171	
当	đương	p		101	
作为	tác vi	p		81	
至	chí	p		119	
较	giác	p		10	
由于	do vu	p		62	
让	nhượng	p		1	
比	tỉ	p		130	
因	nhân	p		80	
为了	vi liễu	p		119	
经过	kinh quá	p		35	
关于	quan vu	p		93	
自	tự	p		74	
按照	án chiếu	p		92	
因为	nhân vi	p		25	
根据	căn cứ	p		88	
对于	đối vu	p		77	
像	tượng	p		17	
经	kinh	p		54	
按	án	p		63	
打	đả	p		1	
靠	kháo	p		14	
拿	nã	p		3	
随着	tuỳ trứ	p		50	
连	liên	p		5	
往	vãng	p		39	
离	ly	p		16	
除	trừ	p		30	
针对	châm đối	p		27	
除了	trừ liễu	p		29	
依靠	y kháo	p		1	
跟	cân	p		12	
沿	duyên	p		15	
朝	triều	p		8	
借	tá	p		8	
依据	y cứ	p		7	
正如	chính như	pys-pis		14	
归	quy	p		3	
依照	y chiếu	p		14	
待	đãi	p		4	
凭	bằng	p		12	
随	tuỳ	p		11	
乘	thừa	p		1	
至于	chí ư	p		11	
Pp_ZhY_q#从	Pp_ZhY_q# tòng	p		10	
论	luận	p		2	
距	cự	p		10	
沿着	duyên trứ	p		8	
距离	cự ly	p		1	
替	thế	p		7	
临	lâm	p		2	
依	y	p		3	
本着	bản trứ	p		7	
凭着	bằng trứ	p		6	
凭借	bằng tá	p		6	
朝着	triều trứ	p		5	
自从	tự tòng	p		5	
照	chiếu	p		2	
Pp_ZhY_q#在	Pp_ZhY_q# tại	p		4	
基于	cơ vu	p		3	
相对于	tương đối vu	p		3	
连同	liên đồng	p		3	
借着	tá trứ	p		3	
Pp_zai_q#在	Pp_zai_q# tại	p		2	
经由	kinh do	p		2	
每当	mỗi đương	p		2	
鉴于	giám vu	p		2	
顺着	thuận trứ	p		2	
较之	giác chi	p		2	
为着	vi trứ	p		1	
缘于	duyên vu	p		1	
向着	hướng trứ	p		1	
冲着	xung trứ	p		1	
自打	tự đả	p		1	
