在	tại	p		11480
和	hoà	p		209
为	vi	p		2468
对	đối	p		3697
与	dữ	p		1684
到	đáo	p		502
就	tựu	p		313
将	tướng	p		754
以	dĩ	p		1952
从	tòng	p		2029
把	bả	p		1505
向	hướng	p		1317
于	vu	p		1127
由	do	p		1159
据	cứ	p		1005
被	bị	p		954
给	cấp	p		554
有关	hữu quan	p		55
用	dụng	p		417
通过	thông quá	p		558
同	đồng	p		528
至	chí	p		402
作为	tác vi	p		154
比	tỉ	p		441
较	giác	p		24
由于	do vu	p		219
当	đương	p		279
为了	vi liễu	p		409
根据	căn cứ	p		325
因	nhân	p		334
经过	kinh quá	p		241
因为	nhân vi	p		139
关于	quan vu	p		296
对于	đối vu	p		289
自	tự	p		217
按照	án chiếu	p		276
像	tượng	p		88
按	án	p		213
打	đả	p		2
拿	nã	p		2
经	kinh	p		182
随着	tuỳ trứ	p		192
比较	tỉ giác	p		1
靠	kháo	p		44
连	liên	p		7
往	vãng	p		127
除	trừ	p		91
针对	châm đối	p		59
除了	trừ liễu	p		104
离	ly	p		10
随	tuỳ	p		25
跟	cân	p		33
借	tá	p		5
依据	y cứ	p		10
归	quy	p		1
距离	cự ly ly	p		6
朝	triều	p		22
奔	bôn	p		1
沿	duyên	p		40
乘	thừa	p		15
距	cự	p		29
依照	y chiếu	p		26
至于	chí ư vu	p		32
凭	bằng	p		22
替	thế	p		17
每当	mỗi đương	p		21
沿着	duyên trứ	p		20
照	chiếu	p		6
自从	tự tòng	p		19
基于	cơ vu	p		17
凭着	bằng trứ	p		16
依	y	p		4
本着	bản trứ	p		15
朝着	triều trứ	p		14
凭借	bằng tá	p		14
鉴于	giám vu	p		14
跟随	cân tuỳ	p		1
经由	kinh do	p		6
向着	hướng trứ	p		6
顺着	thuận trứ	p		5
为着	vi trứ	p		4
遵照	tuân chiếu	p		1
乘着	thừa trứ	p		3
连同	liên đồng	p		3
缘于	duyên vu	p		3
较之	giác chi	p		3
自打	tự đả	p		3
趁	sấn	p		2
当着	đương trứ	p		3
较之于	giác chi vu	p		1
因着	nhân trứ	p		1
及至	cập chí	p		1
趁着	sấn trứ	p		1
