# Thán từ: https://khoahoctiengtrung.com/tu-cam-than-trong-tieng-trung/

## Đơn âm tiết
乌	ô/Ô /Interj
阿	a /Interj
哈	ha/Cáp /Interj
哼	hừ /Interj
偌	như thế /Interj
得	được /Interj
咳	khụ /Interj
唦	a /Interj
叱	quát /Interj
吓	doạ /Interj
哑	câm /Interj
喏	này/nhạ /Interj
吁	xuỳ/Hu /Interj
呔	này /Interj
咦	ồ /Interj
啧	chậc /Interj
呐	nè /Interj
呜	ô /Interj
哟	ô/dô/ấy /Interj
嗏	chà/trà /Interj
呀	nha /Interj
呵	hà /Interj
咨	tư /Interj
喝	uống /Interj
呵	hà /Interj
哎	ài /Interj
啊	ah /Interj
嗟	ta /Interj
咄	đốt /Interj
咍	hai/khái /Interj
唉	ai /Interj
喂	uy/mớm /Interj
呣	mô /Interj
呶	nao /Interj
唗	đâu/tẩu /Interj
喔	ờ /Interj
呸	phi /Interj
呦	ô /Interj
哦	há/ồ /Interj
嗄	sá /Interj
嗳	ai /Interj
嗤	xuy /Interj
嘟	tu /Interj
嗨	hải/nào/hi/xin chào/high /Interj
嗐	haizz /Interj
嗯	ừ /Interj
嘘	xuỵt /Interj
嘿	hờ/hey /Interj
噢	ờ/oh /Interj
嘻	hi /Interj
噫	y /Interj
嚄	hoát /Interj
嚯	hoắc/ồ /Interj
猗	y /Interj
於	với /Interj
欸	ài /Interj
思	nghĩ/nhớ/tứ /Interj
恶	ác /Interj
罢	xong /Interj
唏	hí /Interj

## Từ ghép
阿呀	? /Interj
啊哈	? /Interj
啊呀	? /Interj
啊哟	? /Interj
啊唷	? /Interj
哎哈	? /Interj
哎呀	ai nha /Interj
哎也	? /Interj
哎哟	ôi chao /Interj
挨也	? /Interj
嗳呀	? /Interj
嗳哟	? /Interj
嗳呦	? /Interj
咨虖	? /Interj
啧啧	chậc chậc/sách sách /Interj
吁嗟	? /Interj
于嗟	? /Interj
于戏	? /Interj
于乎	? /Interj
于铄	? /Interj
于皇	? /Interj
唷喂	? /Interj
噫嘻嚱	? /Interj
猗与	? /Interj
噫嗟	? /Interj
已矣	? /Interj
噫乎	? /Interj
噫兴	? /Interj
噫嘻	? /Interj
噫吁嚱	? /Interj
噫嚱	? /Interj
噫吁哉	? /Interj
耶嚛	? /Interj
也那	? /Interj
耶耶	gia gia /Interj
呀呀呼	? /Interj
嘻嚱	? /Interj
喔唷	? /Interj
乌戏	? /Interj
惟兮	? /Interj
维兮	? /Interj
乌乎	? /Interj
呜呼	ô hô /Interj
嘻嘻	hì hì /Interj
叹辞	? /Interj
别忙	không vội /Interj
波查	? /Interj
哈哈	? /Interj
呃嚱	? /Interj
咄咄	tạch tạch /Interj
恶乎	? /Interj
呵呵	ha ha /Interj
嘿哎	? /Interj
哼唷	? /Interj
乖乖	ngoan ngoãn/Quai Quai /Interj
好家伙	khá lắm/hảo gia hỏa /Interj
哈呀	? /Interj
伙颐	? /Interj
咍吁	? /Interj
嗬唷	? /Interj
嗟嗟	? /Interj
嗟哉	? /Interj
嗟来	? /Interj
嗟乎	? /Interj
吭唷	? /Interj
哦呵	? /Interj
哦嗬	? /Interj
诺已	? /Interj
