# Tượng thanh: https://khoahoctiengtrung.com/tu-tuong-thanh-trong-tieng-trung/

## Tượng thanh thông dụng
滴答	tích tắc	Onomat
滴沥	tí tách	Onomat
叮咚	đinh đương	Onomat
咕嘟	sùng sục	Onomat
咕隆	rầm rầm	Onomat
咕噜	lộc cộc	Onomat
哈哈	ha ha	Onomat
呵呵	ha ha	Onomat
嘿嘿	hờ hờ	Onomat
轰隆	ầm ầm	Onomat
哗啦	rầm	Onomat
咔嚓	răng rắc	Onomat
隆隆	ầm ầm	Onomat
喵喵	meo meo	Onomat
喃喃	thì thào	Onomat
啪	phách	Onomat
砰	phanh	Onomat
扑腾	phịch	Onomat
扑通	bộp	Onomat
突突	thình thịch	Onomat
汪汪	gâu gâu	Onomat
萧萧	rền vang	Onomat
呀	nha	Onomat
哑哑	oa oa	Onomat
吱吱	xèo xèo	Onomat
