完	hết	Vntr
到	đến	Vtrn
见	xem	Vtrn
懂	hiểu	Vtrn
住	ở	Vtrn
开	mở	Vtrn
成	thành	Vtrn
只	chỉ	Vtrn
张	giương	Vtrn

给		Vtwo
寄		Vtwo
送		Vtwo
赠		Vtwo
赏		Vtwo
教		Vtwo
还		Vtwo
付		Vtwo
赔		Vtwo
偷		Vtwo
收		Vtwo
抢		Vtwo
赢		Vtwo
托		Vtwo
罚		Vtwo
拿		Vtwo
问		Vtwo
称		Vtwo
叫		Vtwo
喊		Vtwo
捅		Vtwo
欠		Vtwo
看		Vtwo
赐		Vtwo
横		Vtwo
放		Vtwo
借		Vtwo
教		Vtwo
掳		Vtwo
传		Vtwo
关		Vtwo
问		Vtwo
唤		Vtwo
吩咐		Vtwo
回答		Vtwo
报告		Vtwo
打听		Vtwo
通知		Vtwo
称呼		Vtwo
亏欠		Vtwo
告诉		Vtwo
发给		Vtwo
写给		Vtwo
昵称		Vtwo
又给		Vtwo
有损		Vtwo
教会		Vtwo
赐予		Vtwo
敢说		Vtwo

#####
# Động từ / trợ động từ

## Động từ đặc biệt
是	là	V_shi
有	có	V_you
没有	không có	V_meiyou


来		Vdir
去		Vdir
出		Vdir
上来		Vdir
下来		Vdir
进来		Vdir
出来		Vdir
回来		Vdir
过来		Vdir
起来		Vdir
开来		Vdir
上去		Vdir
下去		Vdir
进去		Vdir
出去		Vdir
回去		Vdir
过去		Vdir


爱		Vpsy
怕		Vpsy
喜欢		Vpsy
讨厌		Vpsy
盼望		Vpsy
憎恨		Vpsy
表扬		Vpsy
成熟		Vpsy
诚实		Vpsy
吃惊		Vpsy
粗心		Vpsy
担心		Vpsy
得意		Vpsy
烦恼		Vpsy
反对		Vpsy
放弃		Vpsy
放松		Vpsy
放心		Vpsy
感动		Vpsy
感谢		Vpsy
高兴		Vpsy
孤单		Vpsy
鼓励		Vpsy
关心		Vpsy
害怕		Vpsy
害羞		Vpsy
后悔		Vpsy
怀疑		Vpsy
激动		Vpsy
骄傲		Vpsy
紧张		Vpsy
拒绝		Vpsy
开心		Vpsy
考虑		Vpsy
可惜		Vpsy
客气		Vpsy
肯定		Vpsy
恐怕		Vpsy
快乐		Vpsy
冷静		Vpsy
耐心		Vpsy
难过		Vpsy
难受		Vpsy
努力		Vpsy
批评		Vpsy
奇怪		Vpsy
热情		Vpsy
认真		Vpsy
伤心		Vpsy
生气		Vpsy
失望		Vpsy
讨厌		Vpsy
同情		Vpsy
喜欢		Vpsy
羡慕		Vpsy
信任		Vpsy
兴奋		Vpsy
幸福		Vpsy
勇敢		Vpsy
友好		Vpsy
愉快		Vpsy
愿意		Vpsy
着急		Vpsy
支持		Vpsy

开始		Vpro
停止		Vpro
结束		Vpro
加以		Vpro
给予		Vpro
决定		Vpro


肯		Vmod
可能		Vmod
可以		Vmod
希望		Vmod
应该		Vmod
愿意		Vmod
能够		Vmod
得以		Vmod
乐意		Vmod
情愿		Vmod
愿		Vmod
想要		Vmod
敢		Vmod
敢于		Vmod
乐于		Vmod
应		Vmod
应该		Vmod
应当		Vmod
必须		Vmod
得		Vmod
该		Vmod
当		Vmod
须得		Vmod
犯得着		Vmod
犯不着		Vmod
理当		Vmod
值得		Vmod
便于		Vmod
难于		Vmod
难以		Vmod
易于		Vmod

会	sẽ	V_hui_0	2
会	biết	V_hui_1	1
不会	sẽ không	V_buhui	1

想	nghĩ	V_xiang_0	3
想	muốn	V_xiang_1	2
想	nhớ	V_xiang_2	1

能		V_neng
可	có thể	V_ke3

要	muốn	V_yao_0
要	phải	V_yao_1
