结果	kết quả	vi		1133859	Nipin
卡	kẹt	vi		1133877	Nipin
重生	trùng sinh	vi		1214273	Nipin
逃亡	chạy trốn	vi		1215770	Nipin
登门	đăng môn	vi		1216932	Nipin
感动	cảm động	vi		1223027	Nipin
担心	lo lắng	vi		1228151	Nipin
外传	truyền ra ngoài	vi		1228162	Nipin
当真	cho là thật	vi		1232593	Nipin
不死	bất tử	vi		1233258	Nipin
回话	đáp lời	vi		1235657	Nipin
发热	phát sốt	vi		1235662	Nipin
表白	thổ lộ	vi		1235663	Nipin
河蟹	cua đồng	vi		1236111	Nipin
太监	thái giám	vi		1236823	Nipin
聊天	trò chuyện	vi		1236873	Nipin
理论	lý luận	vi		1239120	Nipin
沸腾	sôi trào	vi		1242470	Nipin
