上班	đi làm	Vobj
上课	lên lớp	Vobj
上网	lên mạng	Vobj
下班	tan ca	Vobj
下课	tan học	Vobj
下雨	đổ mưa	Vobj
发火	nổi nóng	Vobj
发烧	phát sốt	Vobj
生气	giận dỗi	Vobj
生病	bị bệnh	Vobj
见面	gặp mặt	Vobj
结婚	kết hôn	Vobj
离婚	ly hôn	Vobj
放假	nghỉ phép	Vobj
鼓掌	vỗ tay	Vobj
谈话	nói chuyện	Vobj
聊天	tán dóc	Vobj
跑步	chạy bộ	Vobj
道歉	xin lỗi	Vobj
打架	đánh nhau	Vobj
考试	kiểm tra	Vobj
毕业	tốt nghiệp	Vobj
失业	thất nghiệp	Vobj
住院	nhập viện	Vobj
散步	dạo bộ	Vobj
游泳	bơi lội	Vobj
睡觉	đi ngủ	Vobj
帮忙	giúp đỡ	Vobj
洗澡	tắm rửa	Vobj
请假	xin nghỉ	Vobj
吵架	cãi nhau	Vobj
刮风	nổi gió	Vobj
刷牙	đánh răng	Vobj
唱歌	hát ca	Vobj
担心	lo lắng	Vobj
跳舞	khiêu vũ	Vobj
起床	rời giường	Vobj
让座	nhường chỗ	Vobj
让步	nhượng bộ	Vobj
操心	lo lắng	Vobj
爬山	leo núi	Vobj
逛街	dạo phố	Vobj
理发	cắt tóc	Vobj
搬家	dọn nhà	Vobj
签名	ký tên	Vobj
约会	hẹn hò	Vobj
踢球	đá bóng	Vobj
出事	ra chuyện	Vobj
出名	nổi danh	Vobj
出差	công tác	Vobj
分手	chia tay	Vobj
加班	tăng ca	Vobj
吃亏	chịu thiệt	Vobj
吃惊	giật mình	Vobj
干活	làm việc	Vobj
开亏	chịu thiệt	Vobj
开惊	giật mình	Vobj
开会	mở hội	Vobj
开头	mở đầu	Vobj
开学	khai giảng	Vobj
开车	lái xe	Vobj
报名	báo danh	Vobj
拍照	chụp ảnh	Vobj
拜年	chúc tết	Vobj
比赛	tỉ thí	Vobj
用功	chịu khó	Vobj
留学	du học	Vobj
辞职	từ chức	Vobj
过年	qua tết	Vobj
讲话	phát biểu	Vobj
