完	hết	Vint
到	đến	Vtrn
见	xem	Vtrn
懂	hiểu	Vtrn
住	ở	Vtrn
开	mở	Vtrn
成	thành	Vtrn
只	chỉ	Vtrn
张	giương	Vtrn


怪	trách
对不起	có lỗi với

暗道	thầm nói	Vtrn
花	tốn	Vtrn

还	trả	Vtrn
画	vẽ	Vtrn
杵	chọc	Vtrn
更	đổi	Vtrn
真怒	thật giận	Vtrn
谎言	nói dối	Vtrn
服	uống	Vtrn
劫	cướp	Vtrn
倒	đổ	Vtrn
过去	đi qua	Vtrn
服	phục	Vtrn

梳	chải	Vtrn
盘	cuộn	Vtrn
盖	đậy	Vtrn
理	để ý	Vtrn
命	lệnh	Vtrn
横	vạch	Vtrn
花	xài	Vtrn
关	đóng	Vtrn
背	gánh	Vtrn
怪	trách	Vtrn
选择	lựa chọn	Vtrn
生气	giận	Vtrn
昵称	gọi cưng	Vtrn
要冲	muốn xung	Vtrn	1


君临	quân lâm	Vtrn
亲	hôn	Vtrn


安	lắp	Vtrn


提灯	đốt đèn	Vtrn
关	chốt	Vtrn


教会	dạy cho	Vtrn
生气	tức giận	Vtrn
怪	trách	Vtrn
戒	cai	Vtrn

鼓	phồng	Vtrn
还	trả	Vtrn
卡	kẹt	Vtrn
关	quan	Vtrn
行商	hành thương	Vtrn
完	xong	Vtrn
高达	cao tới	Vtrn
背	gánh	Vtrn
昵称	nickname	Vtrn
画饼	vẽ bánh	Vtrn

缓冲完毕	tải đệm	Vtrn


进行	tiến hành	Vtrn
打算	tính toán	Vtrn
支持	chống đỡ	Vtrn
决定	quyết định	Vtrn

发现	phát hiện	Vtrn
