Loại khác	0
loai-khac	0
Huyền ảo	1
huyen-ao	1
Kỳ huyễn	2
ky-huyen	2
Giả tưởng	3
gia-tuong	3
Ma pháp	4
ma-phap	4
Lịch sử	5
lich-su	5
Quân sự	6
quan-su	6
Đô thị	7
do-thi	7
Hiện thực	8
hien-thuc	8
Chức trường	9
chuc-truong	9
Quan trường	10
quan-truong	10
Vườn trường	11
vuon-truong	11
Thương chiến	12
thuong-chien	12
Tiên hiệp	13
tien-hiep	13
Tu chân	14
tu-chan	14
Khoa viễn	15
khoa-vien	15
Không gian	16
khong-gian	16
Trò chơi	17
tro-choi	17
Thể thao	18
the-thao	18
Thi đấu	19
thi-dau	19
Huyền nghi	20
huyen-nghi	20
Kinh dị	21
kinh-di	21
Thần quái	22
than-quai	22
Đồng nhân	23
dong-nhan	23
Võ hiệp	24
vo-hiep	24
Đam mỹ	25
dam-my	25
Nữ sinh	26
nu-sinh	26
Ngôn tình	27
ngon-tinh	27
Xuyên việt	28
xuyen-viet	28
Trạch văn	29
trach-van	29
Phi sắc	30
phi-sac	30
