其他	Loại khác
玄幻	Huyền ảo
奇幻	Kỳ huyễn
幻想	Giả tưởng
魔法	Ma pháp
历史	Lịch sử
军事	Quân sự
都市	Đô thị
现实	Hiện thực
职场	Chức trường
官场	Quan trường
校园	Vườn trường
商战	Thương chiến
仙侠	Tiên hiệp
修真	Tu chân
科幻	Khoa viễn
空间	Không gian
游戏	Trò chơi
体育	Thể thao
竞技	Thi đấu
悬疑	Huyền nghi
惊悚	Kinh dị
灵异	Thần quái
同人	Đồng nhân
武侠	Võ hiệp
耽美	Đam mỹ
女生	Nữ sinh
言情	Ngôn tình
穿越	Xuyên việt
二次元	Trạch văn
轻小说	Trạch văn
网游	Trò chơi
衍生同人	Đồng nhân
小说同人	Đồng nhân
女生频道	Nữ sinh
悬疑推理	Huyền nghi
仙侠奇缘	Tiên hiệp
经典仙侠	Tiên hiệp
穿越时空	Xuyên việt
都市言情	Ngôn tình
科幻空间	Khoa viễn
科幻灵异	Khoa viễn
游戏竞技	Trò chơi
网游竞技	Trò chơi
武侠仙侠	Tiên hiệp
修真武侠	Tu chân
历史军事	Lịch sử
幻想言情	Ngôn tình
悬疑惊悚	Huyền nghi	Kinh dị
玄幻魔法	Giả tưởng
玄幻奇幻	Kỳ huyễn
奇幻修真	Kỳ huyễn
架空历史	Giả tưởng	Lịch sử
官场职场	Quan trường	Chức trường
总裁豪门	Đô thị	Ngôn tình
耽美纯爱	Đam mỹ	Nữ sinh
青春校园	Vườn trường	Đô thị
緋色	Phi sắc
