姐夫的荣耀  小手	300	82
江山云罗  林笑天	366	66
六朝燕歌行  弄玉＆龙琁	593	86
一代大侠  snow_xefd	225	73
舅妈的不伦亲情  supersavage	183	70
锦绣江山传  killcarr	607	68
鱼龙舞  默默猴	260	76
大明天下  hui329	549	68
萧齐艳史  云渐生	773	73
逍遥小散仙  迷男	409	78
逆天邪神  无敌贱客	424	77
极品全能学生  花都大少	226	52
民国谍影  寻青藤	237	66
琉璃满京华  衣布衣出	402	63
窃玉  snow_xefd	545	74
都市偷香贼  snow_xefd	327	72
日光女神  wolui	627	77
妖刀记  默默猴	801	77
命书  弄玉&江南哭哭生	558	81
淫奇抄之锁情咒  snow_xefd	234	77
床道授业  秦守	724	64
烈武志  六道惊魂	158	70
金鳞岂是池中物  MONKEY	380	75
骑士的血脉  血珊瑚	828	78
28岁赚千万  穷富弹指间	531	55
醉梦人间  一剑潇潇	773	66
十景缎  方寸光	981	68
玉麟传奇  柳玉麟	741	67
FATE根源之棒  wolui	737	76
住家大美女  破锣米羞死	607	57
附体记  古镛	373	63
纹面  漂泊旅人	405	78
重生赵志敬  wolui	394	80
六朝云龙吟  弄玉＆龙琁	735	85
照日天劫  默默猴	675	58
阿里布达年代记  弄玉	669	90
六朝清羽记  弄玉＆龙琁	931	87
暮霭凝香  snow_xefd	787	78
大唐双龙之重生边不负  wolui	798	79
欲天仙  白树	405	63
神罚之城  snow_xefd	592	62
天剑风流  killcarr	692	65
剑公子  killcarr	392	60
