像女儿一样	giống như con gái
像小仙女下凡似的	giống như tiên nữ nhỏ hạ phàm
母爱像太阳一般温暖	mẫu ái ấm áp giống như thái dương
她的心像被撕裂了一般	tâm của nàng giống như bị xé nát
我跟爸爸一样爱读书	ta thích đọc sách giống ba ba
你的想法和我一样	cách nghĩ của ngươi giống như ta
我的意见与他的观点相同	ý kiến của ta cùng quan điểm của hắn tương đồng
同平时一样	giống như mọi ngày
我跟爸爸一样高	ta cao như ba ba
这孩子的眼睛像他妈妈	con mắt của hài tử này giống ma ma hắn
像能说话似的	giống như có thể nói chuyện
我和她不一样	ta cùng nàng không giống nhau
他变得跟以前完全不一样	hắn trở nên hoàn toàn không giống với lúc trước
小狗比小猫大	chó con lớn hơn mèo con
小王比我高	Tiểu Vương cao hơn ta
苹果比香蕉好吃	táo ngon hơn chuối
他比我喜欢读书	hắn thích đọc sách hơn ta
他比我爱说话	hắn yêu nói chuyện hơn ta
他比我起得早	hắn dậy sớm hơn ta
今天比昨天冷得多	hôm nay lạnh hơn nhiều hôm qua
这次考试比上次难多了	thi lần này khó hơn lần trước nhiều rồi
他做得比我好一点儿	hắn làm tốt hơn ta một chút
大学的学费比高中的贵一些	học phí của đại học đắt hơn của cấp 3 một chút
糖果比巧克力甜	kẹo ngọt hơn sô-cô-la
巧克力没有糖果甜	sô-cô-la không ngọt bằng kẹo
他比我胖	hắn béo hơn ta
我没有他胖	ta không béo bằng hắn
妈妈做的饭比爸爸做的饭好吃的多	cơm ma ma làm ngon hơn cơm ba ba làm nhiều
爸爸做的饭没有比妈妈做的饭好吃	cơm ba ba làm không ngon bằng cơm ma ma làm
我觉得你汉语说得比他好一些	ta thấy ngươi nói tiếng Trung tốt hơn hắn một chút
我汉语说得不比他好	ta nói tiếng Trung không tốt bằng hắn
今天比昨天热	hôm nay nóng hơn hôm qua
今天不比昨天热	hôm nay không nóng bằng hôm qua
她没有你这么善良	nàng không có thiện lương như ngươi
他唱得没有你好听	hắn hát không dễ nghe như ngươi
这个房间比那个更大	gian phòng này càng to hơn cái kia
今天比昨天还热	hôm nay còn nóng hơn hôm qua
就像没有任何一个贵族会去卖城墙一样	liền giống như không có bất kỳ một quý tộc sẽ đi bán tường thành
类似家乐福或大润发的大卖场	đại siêu thị tương tự Carrefour hoặc RT-Mart
他比我早来一分钟	hắn tới sớm hơn ta một phút
