上班	đi làm
上课	lên lớp
上网	lên mạng
下班	tan ca
下课	tan học
下雨	đổ mưa
发火	nổi nóng
发烧	phát sốt
生气	giận dỗi
生病	bị bệnh
见面	gặp mặt
结婚	kết hôn
离婚	ly hôn
放假	nghỉ phép
鼓掌	vỗ tay
谈话	nói chuyện
聊天	tán dóc
跑步	chạy bộ
道歉	xin lỗi
打架	đánh nhau
考试	kiểm tra
毕业	tốt nghiệp
失业	thất nghiệp
住院	nhập viện
散步	dạo bộ
游泳	bơi lội
睡觉	đi ngủ
帮忙	giúp đỡ
洗澡	tắm rửa
请假	xin nghỉ
吵架	cãi nhau
刮风	nổi gió
刷牙	đánh răng
唱歌	hát ca
担心	lo lắng
跳舞	khiêu vũ
起床	rời giường
让座	nhường chỗ
让步	nhượng bộ
操心	lo lắng
爬山	leo núi
逛街	dạo phố
理发	cắt tóc
搬家	dọn nhà
签名	ký tên
约会	hẹn hò
踢球	đá bóng
出事	ra chuyện
出名	nổi danh
出差	công tác
分手	chia tay
加班	tăng ca
吃亏	chịu thiệt
吃惊	giật mình
干活	làm việc
开亏	chịu thiệt
开惊	giật mình
开会	mở hội
开头	mở đầu
开学	khai giảng
开车	lái xe
报名	báo danh
拍照	chụp ảnh
拜年	chúc tết
比赛	tỉ thí
用功	chịu khó
留学	du học
辞职	từ chức
过年	qua tết
讲话	phát biểu
