⺮	zhú		
々	xx		
〇	líng		
〡	yī		
〢	èr		
〣	sān		
〤	sì		
〥	wǔ		
〦	liù		
〧	qī		
〨	bā		
〩	jiǔ		
〻	xx		
㐄	kuà		
㐆	yǐn		
㐌	tā		
㐖	xié		
㐜	chóu		
㐷	mà		
㑇	zhòu		
㑊	yì		
㑩	luoǀluó		
㔾	jié		
㕮	fǔ		
㕻	pǒu		
㖊	xún		
㖞	wāi		
㗂	shěng		
㘎	hǎn		
㙍	duō		
㙘	yāo		
㙦	xié		
㚻	jī		
㛀	chú		
㛂	nuǒ		
㛃	jié		
㛚	tǒng		
㛹	pián		
㝉	zhù		
㝵	ài		
㞎	bǎǀba		
㞗	qiú		
㟃	sī		
㟥	cēn		
㠇	jiù		
㠓	méng		
㢲	xùn		
㣟	xì		
㤘	zhòu		
㤽	chóu		
㥁	dé		
㥄	líng		
㥏	tiǎn		
㥯	yǐn		
㧐	sǒng		
㧑	huī		
㧟	kuǎi		
㧯	lǎo		
㧰	lvè		
㨃	duǐ		
㨫	lǎn		
㩐	dèn		
㪃	hé		
㪋	hàn		
㫰	làng		
㬊	huàn		
㬎	xiǎn		
㬚	chè		
㭎	gāng		
㭕	qū		
㮎	bēi		
㮸	sòng		
㮾	lǎng		
㯳	qíng		
㰀	lí		
㱩	dú		
㱾	gāi		
㲈	sháoǀtáo		
㲋	chuò		
㳂	yán		
㳇	fù		
㳘	chōng		
㳚	xù		
㴋	xiāo		
㴔	xī		
㵐	jué		
㵪	xián		
㵮	chún		
㶉	xī		
㶲	yòng		
㶶	nóng		
㶸	xié		
㸆	kào		
㸌	huò		
㹢	jiā		
㹴	gěng		
㺄	yǔ		
㺢	huò		
㺵	jiǔ		
㻅	huì		
㻬	tū		
㻽	xuán		
㽏	gàn		
㿠	huàng		
䁖	louǀlōu		
䂖	shí		
䂮	lüè		
䂲	fǎ		
䂶	jié		
䃅	dī		
䃎	zhà		
䅟	shān		
䅵	zhuó		
䇲	cè		
䉤	sǒu		
䌷	chóu		
䌸	zhuàn		
䌹	jiǒng		
䌽	cǎi		
䍁	suì		
䍃	yáo		
䍹	shān		
䎃	rǎn		
䎖	zēng		
䏝	zhuān		
䏡	shì		
䏲	dié		
䐃	jùn		
䓕	wěi		
䓖	qióng		
䓛	qū		
䓨	yīng		
䓫	qí		
䓬	zhuó		
䕭	qiánǀxián		
䖸	é		
䗖	dì		
䗛	xiū		
䗥	zōng		
䗪	zhè		
䗴	tíng		
䙓	bǎi		
䛟	jiá		
䜣	xīn		
䜩	yàn		
䝙	chū		
䟖	zhǐ		
䠀	chǎng		
䠞	cù		
䢺	chū		
䢼	gōng		
䣘	táng		
䥯	bà		
䥽	pō		
䦃	zhuō		
䦆	jué		
䦉	sì		
䦕	pēng		
䩄	miǎn		
䩦	tiáo		
䫏	qī		
䬪	bó		
䯄	guā		
䯝	suǐ		
䲟	yìn		
䲠	chūn		
䲢	téng		
䳗	é		
䳭	jí		
䴓	shī		
䴔	jiāo		
䴕	liè		
䴖	jīng		
䴗	jú		
䴘	tī		
䴙	pì		
䶑	tì		
䶮	yǎn		
一	yīǀyi		
丁	dīngǀzhēngǀding		
丂	kǎo		
七	qī		
丆	xx		
万	wànǀmò		
丈	zhàngǀzhang		
三	sānǀsǎn		
上	shàngǀshangǀshǎng		
下	xiàǀxia		
丌	jī		
不	bùǀbuǀbú		
与	yǔǀyùǀyú		
丏	miǎn		
丐	gài		
丑	chǒu		
丒	chǒu		
专	zhuān		
且	qiě		
丕	pī		
世	shì		
丘	qiū		
丙	bǐng		
业	yè		
丛	cóngǀcōng		
东	dōng		
丝	sī		
丞	chéng		
両	liǎng		
丢	diū		
两	liǎng		
严	yánǀyǎn		
丧	sàngǀsāngǀsang		
丨	gǔnǀshù		
个	gèǀgeǀgě		
丫	yā		
丬	qiáng		
中	zhōngǀzhòng		
丮	jǐ		
丰	fēng		
丱	guàn		
串	chuàn		
丳	chǎn		
临	lín		
丵	zhuó		
丶	zhǔ		
丷	xx		
丸	wán		
丹	dānǀdan		
为	wéiǀwèiǀwei		
主	zhǔ		
丼	dòng		
丽	lìǀlí		
举	jǔǀju		
丿	piě		
乀	fúǀpiě		
乂	yì		
乃	nǎi		
久	jiǔ		
乇	zhé		
么	meǀmáǀmó		
义	yìǀyi		
乊	xx		
之	zhī		
乌	wū		
乍	zhà		
乎	hūǀhu		
乏	fá		
乐	lèǀyuèǀlào		
乑	zhòng		
乒	pīng		
乓	pāng		
乔	qiáo		
乖	guāiǀguai		
乗	chéng		
乘	chéngǀshèng		
乙	yǐǀzhé		
乛	zhé		
乜	miē		
九	jiǔ		
乞	qǐǀqi		
也	yě		
习	xí		
乡	xiāng		
乢	gài		
乤	xx		
乥	xx		
书	shū		
乧	xx		
乩	jī		
乪	nāng		
