㖊	tầm		
㧑	huy		
䅟	sam		
䌷	trừu		
䌹	cánh		
䗖	đế		
䯄	oa		
䲠	xuân		
䴕	liệt		
丁	đinh	ng	
丂	khảo		
丌	cơ	n	
丏	cái		
丐	cái	n	
丕	phi	n	
世	thế	ng	
丘	đồi	ng	
丙	bính	nr	
业	nghiệp	ng	
丛	tùng	ng	
东	đông	f	
丞	thừa	n	
严	nghiêm	a	
丧	mất	vg	
丨	cổn	v	
丫	nha	v	
丰	phong	ag	
丱	quán		
串	xuyến	q	
丸	hoàn	n	
丹	đan	b	
丽	lệ	ag	
举	nâng	v	
丿	phiệt	n	
乂	nghệ	n	
乃	chính là	v	
乇	thác		
义	nghĩa	ng	
乌	ô	b	
乍	mới	d	
乎	hồǀhô	y	
乏	đuối	a	
乒	binh	o	
乓	bàng	o	
乔	kiều	ag	
乖	ngoan	a	
乘	ngồiǀthừaǀlợi dụng	v	
乙	ất	m	
乜	khiết	v	
九	chín	b	
乞	xin	v	
也	vậy	d	
习	tập	vg	
乡	hương	n	
乢	cái		
乩	kê	v	
买	mua	v	
乳	nhũ	vg	
乵	tiến		
乸	nả		
乾	càn	nz	
亅	quyết		
予	dư	vg	
争	tranh	vn	
亊	sự		
亍	xúc		
于	tại	p	
亏	thiệt thòi	vn	
互	lẫn nhau	d	
亓	kỳ	v	
五	năm	t	
井	giếng	n	
亖	tứ		
亘	triền miên	v	
亚	áǀkém	b	
亟	cấp bách		
亠	đầu		
亡	vong	vg	
亢	cang	e	
亥	hợi	v	
亦	cũng	d	
产	sản	v	
亨	hừ	nz	
亩	mẫu	q	
享	hưởng	vg	
亭	đình	ng	
亮	sáng	vi	
亳	Bặc	n	
亵	tiết	v	
亶	đản	n	
亸	đả		
亹	vỉǀvĩǀmên		
亻	nhân		
亼	tập		
什	thập	ns	
仂	lặc		
仃	đình	n	
仄	trắc	v	
仅	vẻn vẹn	d	
仆	bộc	n	
仇	thù	n	
仈	bát		
仉	chưởng		
今	nay	tg	
介	giới	v	
仌	băng		
仍	vẫn	d	
仏	phật		
仑	luân	ng	
仓	kho	ng	
仔	tử	ng	
仕	sĩ	v	
仗	trượng	n	
付	giao	v	
仝	đồng	nz	
仞	nhận	q	
仟	thiên		
仡	ngật		
仨	ba cái	v	
仪	nghi	ng	
仫	mụcǀmậu		
仰	ngưỡng	v	
仲	trọng	nz	
仳	tỉ		
仵	ngỗ		
件	kiện	q	
任	nhậm	v	
份	phần	q	
仿	phỏng	v	
伀	chung		
企	mong đợi	ng	
伃	dư		
伈	tầm		
伉	kháng		
伊	y	b	
伋	cấp		
伍	ngũ	ng	
伎	kỹ	n	
伏	phụcǀphu	v	
伐	phạt	v	
休	ngừng	v	
伕	phu		
伛	ủ		
伝	vân		
伞	ô	n	
伟	vĩ	ag	
传	truyền	vn	
伡	xa		
伢	nha	n	
伤	thương	vn	
伥	trành	n	
伦	luân	ng	
伧	sanh		
伪	nguỵ	ag	
伫	trữ		
伯	bá	n	
估	đánh giá	v	
伱	nễ	v	
伲	ní		
伴	bạn	v	
伶	linh	n	
伷	khúc	n	
伸	duỗi	v	
伺	tứ		
伻	bình		
伽	già	n	
伾	phi		
佃	điền	v	
佉	khư	n	
佊	bỉ		
佌	thử		
位	vị	q	
低	thấp	a	
佐	tá	v	
体	thể	ng	
何	gì	ry	
佗	đà	n	
佘	xà	nz	
余	dư	ng	
佚	chạy	n	
佛	phật	n	
