㑳	㑇		
㞞	𪨊		
㨗	捷		
㩜	㨫		
䈰	筲		
䥑	鿏		
䰾	鲃		
䲘	鳤		
䴉	鹮		
丟	丢		
並	并		
亂	乱		
亙	亘		
亞	亚		
佇	伫		
佈	布		
佔	占		
併	并		
來	来		
侖	仑		
侶	侣		
侷	局		
俁	俣		
係	系		
俓	𠇹		
俔	伣		
俠	侠		
倀	伥		
倆	俩		
倉	仓		
個	个		
們	们		
倖	幸		
倫	伦		
偉	伟		
偪	逼		
側	侧		
偵	侦		
偽	伪		
傌	㐷		
傑	杰		
傖	伧		
傘	伞		
備	备		
傚	效		
傭	佣		
傯	偬		
傳	传		
傴	伛		
債	债		
傷	伤		
傾	倾		
僂	偻		
僅	仅		
僉	佥		
僑	侨		
僕	仆		
僤	𫢸		
僥	侥		
僨	偾		
僱	雇		
價	价		
儀	仪		
儁	俊		
儂	侬		
億	亿		
儈	侩		
儉	俭		
儐	傧		
儔	俦		
儕	侪		
儗	拟		
儘	尽		
償	偿		
優	优		
儲	储		
儷	俪		
儸	㑩		
儺	傩		
儻	傥		
儼	俨		
兇	凶		
兌	兑		
兒	儿		
兗	兖		
內	内		
兩	两		
冊	册		
冪	幂		
凈	净		
凍	冻		
凜	凛		
凱	凯		
刪	删		
剄	刭		
則	则		
剉	锉		
剎	刹		
剗	刬		
剛	刚		
剝	剥		
剮	剐		
剴	剀		
創	创		
剷	铲		
剹	戮		
劃	划		
劇	剧		
劉	刘		
劊	刽		
劌	刿		
劍	剑		
劑	剂		
勁	劲		
動	动		
務	务		
勛	勋		
勝	胜		
勢	势		
勣	𪟝		
勦	剿		
勩	勚		
勱	劢		
勳	勋		
勵	励		
勸	劝		
勻	匀		
匭	匦		
匯	汇		
匱	匮		
區	区		
協	协		
卹	恤		
卻	却		
厙	厍		
厭	厌		
厲	厉		
厴	厣		
參	参ǀ叁		
叢	丛		
吳	吴		
吶	呐		
呂	吕		
咼	呙		
員	员		
唄	呗		
唚	吣		
問	问		
啞	哑		
啟	启		
啢	唡		
喎	㖞		
喚	唤		
喪	丧		
喬	乔		
喲	哟		
嗆	呛		
嗇	啬		
嗊	唝		
嗎	吗		
嗚	呜		
嗩	唢		
嗰	𠮶		
嗶	哔		
嘆	叹		
嘊	啀		
嘍	喽		
嘑	呼		
嘓	啯		
嘔	呕		
嘖	啧		
嘗	尝		
嘜	唛		
嘩	哗		
嘮	唠		
嘯	啸		
嘰	叽		
嘵	哓		
嘸	呒		
嘽	啴		
噁	𫫇ǀ恶		
噅	𠯠		
噓	嘘		
噚	㖊		
噝	咝		
噠	哒		
噥	哝		
噦	哕		
噯	嗳		
噲	哙		
噴	喷		
噸	吨		
噹	当		
嚀	咛		
嚇	吓		
嚌	哜		
嚐	尝		
嚕	噜		
嚙	啮		
嚥	咽		
嚦	呖		
嚨	咙		
嚮	向		
嚲	亸		
嚳	喾		
嚴	严		
嚶	嘤		
囀	啭		
囁	嗫		
囂	嚣		
囅	冁		
囈	呓		
囉	啰ǀ罗		
囌	苏		
囑	嘱		
囓	啮		
囪	囱		
圇	囵		
國	国		
圍	围		
園	园		
圓	圆		
圖	图		
團	团		
坵	丘		
埡	垭		
埳	坎		
執	执		
堅	坚		
堊	垩		
堖	垴		
堝	埚		
堯	尧		
報	报		
場	场		
塊	块		
塋	茔		
塏	垲		
塒	埘		
塗	涂		
塚	冢		
塢	坞		
塤	埙		
塵	尘		
塹	堑		
塿	𪣻		
墊	垫		
墜	坠		
墠	𫮃		
墮	堕		
墳	坟		
墻	墙		
墾	垦		
壇	坛		
壈	𡒄		
壋	垱		
壓	压		
壘	垒		
壙	圹		
壚	垆		
壞	坏		
壟	垄		
壢	坜		
壩	坝		
壪	塆		
壯	壮		
壺	壶		
壼	壸		
壽	寿		
夠	够		
夢	梦		
奐	奂		
奧	奥		
奩	奁		
奪	夺		
奮	奋		
奼	姹		
妝	妆		
姍	姗		
姦	奸		
姪	侄		
娛	娱		
婁	娄		
婦	妇		
婭	娅		
媧	娲		
媯	妫		
媰	㛀		
媼	媪		
媽	妈		
嫋	袅		
嫗	妪		
嫰	嫩		
嫵	妩		
嫻	娴		
嫿	婳		
嬃	媭		
嬈	娆		
嬋	婵		
嬌	娇		
嬙	嫱		
嬝	袅		
嬡	嫒		
嬤	嬷		
嬪	嫔		
嬭	奶		
嬰	婴		
嬸	婶		
孃	娘		
孌	娈		
孫	孙		
學	学		
孻	𡥧		
孿	孪		
宮	宫		
寠	𪧘		
寢	寝		
實	实		
寧	宁		
審	审		
寫	写		
寬	宽		
寳	宝		
寵	宠		
寶	宝		
將	将		
專	专		
尋	寻		
對	对		
導	导		
尷	尴		
屆	届		
屍	尸		
屜	屉		
屢	屡		
層	层		
屨	屦		
屬	属		
屭	屃		
岅	坂		
岡	冈		
峴	岘		
島	岛		
峽	峡		
崍	崃		
崑	昆		
崗	岗		
崙	仑		
崢	峥		
崬	岽		
嵐	岚		
嵗	岁		
嵼	𡶴		
嵾	㟥		
嶁	嵝		
嶄	崭		
嶇	岖		
嶔	嵚		
嶗	崂		
嶠	峤		
嶢	峣		
嶧	峄		
嶨	峃		
嶮	崄		
嶴	岙		
嶸	嵘		
嶺	岭		
嶼	屿		
嶽	岳		
巆	𫶕		
巋	岿		
巒	峦		
巔	巅		
巖	岩		
巘	𪩘		
巰	巯		
巹	卺		
帥	帅		
師	师		
帳	帐		
帶	带		
幀	帧		
幃	帏		
幗	帼		
幘	帻		
幙	幕		
幟	帜		
幣	币		
幫	帮		
幬	帱		
幹	干		
幾	几		
庫	库		
廁	厕		
廂	厢		
廄	厩		
廈	厦		
廎	庼		
廚	厨		
廝	厮		
廞	𫷷		
廟	庙		
廠	厂		
廡	庑		
廢	废		
廣	广		
廩	廪		
廬	庐		
廳	厅		
廹	迫		
弒	弑		
弔	吊		
弳	弪		
張	张		
強	强		
彄	𫸩		
彆	别		
彈	弹		
彌	弥		
彎	弯		
彔	录		
彙	汇		
彞	彝		
彠	彟		
彥	彦		
彲	彨		
彿	佛		
後	后		
徑	径		
從	从		
徠	徕		
復	复		
徹	彻		
恆	恒		
恥	耻		
悅	悦		
悞	悮		
悵	怅		
悶	闷		
悽	凄		
惡	恶		
惱	恼		
惲	恽		
惷	蠢		
惻	恻		
愛	爱		
愜	惬		
愨	悫		
愴	怆		
愷	恺		
愾	忾		
慄	栗		
態	态		
慍	愠		
慘	惨		
慚	惭		
慟	恸		
慣	惯		
慤	悫		
慪	怄		
慫	怂		
慮	虑		
慳	悭		
慴	慑		
慶	庆		
慼	戚		
慾	欲		
憂	忧		
憊	惫		
憐	怜		
憑	凭		
憒	愦		
憖	慭		
憚	惮		
憤	愤		
憫	悯		
憮	怃		
憲	宪		
憶	忆		
憹	𢙐		
懃	勤		
懇	恳		
應	应		
懌	怿		
懍	懔		
懟	怼		
懣	懑		
懤	㤽		
懨	恹		
懲	惩		
懶	懒		
懷	怀		
懸	悬		
懺	忏		
懼	惧		
懾	慑		
戀	恋		
戇	戆		
戔	戋		
戧	戗		
戩	戬		
戰	战		
戲	戏		
戶	户		
拋	抛		
挾	挟		
捨	舍		
捫	扪		
捲	卷		
掃	扫		
掄	抡		
掗	挜		
掙	挣		
掛	挂		
採	采		
揀	拣		
揚	扬		
換	换		
揮	挥		
揹	背		
搆	构		
損	损		
搖	摇		
搗	捣		
搵	揾		
搶	抢		
搾	榨		
摑	掴		
摜	掼		
摟	搂		
摯	挚		
摳	抠		
摶	抟		
摻	掺		
撈	捞		
撏	挦		
撐	撑		
撓	挠		
撝	㧑		
撟	挢		
撣	掸		
撥	拨		
撦	扯		
撫	抚		
撲	扑		
撳	揿		
撻	挞		
撾	挝		
撿	捡		
擁	拥		
擄	掳		
擇	择		
擊	击		
擋	挡		
擔	担		
據	据		
擠	挤		
擧	举		
擫	𢬍		
擬	拟		
擯	摈		
擰	拧		
擱	搁		
擲	掷		
擴	扩		
擷	撷		
擺	摆		
擻	擞		
擼	撸		
擽	㧰		
擾	扰		
攄	摅		
攆	撵		
攏	拢		
攔	拦		
攖	撄		
攙	搀		
攛	撺		
攜	携		
攝	摄		
攢	攒		
攣	挛		
攤	摊		
攪	搅		
攬	揽		
攷	考		
敂	叩		
敗	败		
敘	叙		
敱	敳		
敵	敌		
數	数		
斂	敛		
斃	毙		
斕	斓		
斬	斩		
斲	斫		
斷	断		
旂	旗		
昰	是		
時	时		
晉	晋		
晛	𬀪		
晝	昼		
暈	晕		
暉	晖		
暐	𬀩		
暘	旸		
暢	畅		
暫	暂		
暱	昵		
曄	晔		
曆	历		
曇	昙		
曉	晓		
曏	向		
曖	暧		
曠	旷		
曨	昽		
曬	晒		
書	书		
會	会		
朞	期		
朢	望		
朧	胧		
東	东		
枴	拐		
柵	栅		
栞	刊		
桿	杆		
梔	栀		
梘	枧		
條	条		
梟	枭		
棄	弃		
棖	枨		
棗	枣		
棟	栋		
棧	栈		
棲	栖		
棶	梾		
椏	桠		
椷	缄		
楄	匾		
楊	杨		
楓	枫		
楥	楦		
楨	桢		
業	业		
極	极		
榪	杩		
榮	荣		
榲	榅		
榿	桤		
槀	槁		
構	构		
槍	枪		
槓	杠		
槤	梿		
槧	椠		
槨	椁		
槮	椮		
槳	桨		
樁	桩		
樂	乐		
樅	枞		
樑	梁		
樓	楼		
標	标		
樞	枢		
樣	样		
樸	朴		
樹	树		
樺	桦		
樿	椫		
橈	桡		
橋	桥		
機	机		
橢	椭		
橫	横		
檁	檩		
檉	柽		
檔	档		
檜	桧		
檟	槚		
檢	检		
檣	樯		
檮	梼		
檯	台		
檳	槟		
檸	柠		
檻	槛		
櫂	棹		
櫃	柜		
櫓	橹		
櫚	榈		
櫛	栉		
櫝	椟		
櫞	橼		
櫟	栎		
櫥	橱		
櫧	槠		
櫨	栌		
櫪	枥		
櫫	橥		
櫬	榇		
櫱	蘖		
櫳	栊		
櫸	榉		
櫺	棂		
櫻	樱		
欄	栏		
權	权		
欏	椤		
欒	栾		
欖	榄		
欞	棂		
欽	钦		
歎	叹		
歐	欧		
歟	欤		
歡	欢		
歲	岁		
歷	历		
歸	归		
歿	殁		
殀	夭		
殘	残		
殞	殒		
殢	𣨼		
殤	殇		
殫	殚		
殭	僵		
殮	殓		
殯	殡		
殰	㱩		
殲	歼		
殺	杀		
殼	壳		
殽	肴		
毀	毁		
毆	殴		
毿	毵		
氂	牦		
氈	毡		
氌	氇		
氣	气		
氫	氢		
氬	氩		
氳	氲		
決	决		
沒	没		
沖	冲		
況	况		
洩	泄		
洶	汹		
浹	浃		
涇	泾		
涖	莅		
涼	凉		
淒	凄		
淚	泪		
淥	渌		
淨	净		
淪	沦		
淵	渊		
淶	涞		
淺	浅		
渙	涣		
減	减		
渢	沨		
渦	涡		
測	测		
渾	浑		
湊	凑		
湋	𣲗		
湞	浈		
湧	涌		
湯	汤		
湼	涅		
溈	沩		
準	准		
溝	沟		
溫	温		
溮	浉		
溳	涢		
滄	沧		
滅	灭		
滌	涤		
滎	荥		
滬	沪		
滯	滞		
滲	渗		
滷	卤		
滸	浒		
滻	浐		
滾	滚		
滿	满		
漁	渔		
漊	溇		
漚	沤		
漢	汉		
漣	涟		
漬	渍		
漲	涨		
漵	溆		
漸	渐		
漿	浆		
潁	颍		
潑	泼		
潔	洁		
潕	𣲘		
潚	㴋		
潛	潜		
潤	润		
潯	浔		
潰	溃		
潷	滗		
潿	涠		
澀	涩		
澆	浇		
澇	涝		
澗	涧		
澠	渑		
澤	泽		
澦	滪		
澫	𬇕		
澮	浍		
澱	淀		
濁	浊		
濃	浓		
濆	𣸣		
濕	湿		
濘	泞		
濛	蒙		
